[2200, 1700]
[section-title, [682.0, 163.0, 352.0, 52.5], mb1u6FSqh4, 5658789]
[section-title, [682.0, 215.5, 352.0, 52.5], mb1u6FSqh4, 5658789]
[sub-section-title, [444.0, 307.0, 782.0, 55.5], yNCsC9IYRX, 5658789]
[sub-section-title, [444.0, 362.5, 782.0, 55.5], yNCsC9IYRX, 5658789]
[paragraph, [254.0, 435.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 471.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 507.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 543.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 579.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 615.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 651.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 687.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 723.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 759.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 795.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 831.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 867.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 903.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 939.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 975.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 1011.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 1047.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
[paragraph, [254.0, 1083.0, 1189.0, 36.0], ipsnnLVnjP, 5658789]
