[2337, 1642]
[paragraph, [403.0, 279.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 315.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 351.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 387.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 423.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 459.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 495.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 531.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 567.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 603.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 639.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 675.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 711.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 747.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 783.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 819.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 855.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 891.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 927.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 963.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 999.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 1035.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 1071.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [403.0, 1107.0, 705.0, 36.0], bMAtElrHgZ, 5753167]
[paragraph, [415.0, 1250.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1286.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1322.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1358.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1394.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1430.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1466.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1502.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1538.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1574.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1610.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1646.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1682.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1718.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1754.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1790.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1826.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1862.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1898.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1934.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 1970.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 2006.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[paragraph, [415.0, 2042.0, 742.0, 36.0], Ggg5WTANzc, 5753167]
[website-link, [555.0, 2267.0, 525.0, 18.0], shoonya_1s61A38K2AUKT0, 5753167]
[website-link, [555.0, 2285.0, 525.0, 18.0], shoonya_1s61A38K2AUKT0, 5753167]
[website-link, [555.0, 2303.0, 525.0, 18.0], shoonya_1s61A38K2AUKT0, 5753167]
