[2484, 1767]
[paragraph, [295.0, 406.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 442.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 478.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 514.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 550.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 586.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 622.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 658.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 694.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 730.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 766.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 802.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 838.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 874.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 910.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 946.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 982.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [295.0, 1018.0, 1249.0, 36.0], shoonya_1sOP6B0Y91CXI3, 5753447]
[paragraph, [311.0, 1101.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1137.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1173.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1209.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1245.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1281.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1317.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1353.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1389.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1425.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1461.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1497.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1533.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1569.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1605.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1641.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1677.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1713.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [311.0, 1749.0, 1250.0, 36.0], shoonya_0sVPVWGTQICR9V, 5753447]
[paragraph, [298.0, 1785.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 1821.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 1857.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 1893.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 1929.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 1965.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2001.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2037.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2073.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2109.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2145.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2181.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2217.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
[paragraph, [298.0, 2253.0, 1294.0, 36.0], BTk-V3XCL2, 5753447]
