[2084, 1289]
[paragraph, [129.0, 275.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 311.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 347.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 383.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 419.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 455.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 491.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 527.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 563.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 599.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[paragraph, [129.0, 635.0, 1034.0, 36.0], shoonya_0sN8TB7XJNYS3M, 5660832]
[section-title, [498.0, 712.0, 279.0, 52.5], shoonya_3sTEO8CFCUEHU5, 5660832]
[ordered-list, [125.0, 790.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 826.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 862.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 898.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 934.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 970.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1006.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1042.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1078.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1114.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1150.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1186.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1222.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1258.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1294.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1330.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1366.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1402.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1438.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1474.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1510.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1546.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1582.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1618.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1654.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1690.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1726.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1762.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1798.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[ordered-list, [125.0, 1834.0, 1040.0, 36.0], shoonya_1sNVK3C8PMJWM7, 5660832]
[folio, [632.0, 1937.0, 655.0, 36.0], shoonya_2sXJ5MWFWNBMDO, 5660832]
[folio, [632.0, 1973.0, 655.0, 36.0], shoonya_2sXJ5MWFWNBMDO, 5660832]
