[1263, 852]
[paragraph, [41.0, 22.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 40.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 58.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 76.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 94.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 112.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 130.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 148.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 166.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 184.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 202.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 220.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 238.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 256.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 274.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 292.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 310.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 328.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 346.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 364.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 382.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 400.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 418.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 436.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 454.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 472.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 490.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 508.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 526.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 544.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
[paragraph, [41.0, 562.0, 775.0, 18.0], shoonya_1sYID6Q6FBRC9C, 5751141]
