[596, 393]
[paragraph, [46.0, 42.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 60.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 78.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 96.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 114.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 132.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 150.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 168.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [46.0, 186.0, 321.0, 18.0], LKIUnm3diJ, 6534239]
[paragraph, [40.0, 216.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 234.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 252.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 270.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 288.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 306.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 324.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 342.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 360.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 378.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 396.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 414.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 432.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 450.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [40.0, 468.0, 321.0, 18.0], shoonya_0sHHH2FA5TMJ7B, 6534239]
[paragraph, [65.0, 496.0, 295.0, 18.0], 3BjXZOnkwS, 6534239]
