[2339, 1654]
[folio, [1327.0, 52.0, 221.0, 36.0], shoonya_1sJR8EDDHTUR8E, 5750493]
[paragraph, [124.0, 108.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 144.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 180.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 216.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 252.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 288.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 324.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 360.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 396.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 432.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 468.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 504.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 540.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 576.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 612.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 648.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 684.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 720.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [124.0, 756.0, 1440.0, 36.0], shoonya_4s0KU1STO1NKHH, 5750493]
[paragraph, [258.0, 804.0, 1052.0, 36.0], 6zKe6C16N5, 5750493]
[paragraph, [258.0, 840.0, 1052.0, 36.0], 6zKe6C16N5, 5750493]
[reference, [1020.0, 901.0, 377.0, 36.0], shoonya_2sERWO2PHOELFD, 5750493]
[paragraph, [237.0, 963.0, 1170.0, 36.0], Hep5LY1ybe, 5750493]
[paragraph, [237.0, 999.0, 1170.0, 36.0], Hep5LY1ybe, 5750493]
[paragraph, [237.0, 1035.0, 1170.0, 36.0], Hep5LY1ybe, 5750493]
[reference, [1137.0, 1112.0, 417.0, 36.0], HmP1D8H4d4, 5750493]
[paragraph, [254.0, 1166.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1202.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1238.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1274.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1310.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1346.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[paragraph, [254.0, 1382.0, 1155.0, 36.0], 8Zp1an85B3, 5750493]
[reference, [861.0, 1450.0, 537.0, 36.0], shoonya_3sOTLQK5QZ63KF, 5750493]
[paragraph, [119.0, 1509.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1545.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1581.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1617.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1653.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1689.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1725.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1761.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1797.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1833.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1869.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1905.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1941.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 1977.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 2013.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 2049.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
[paragraph, [119.0, 2085.0, 1446.0, 36.0], shoonya_0s8GC3E0VE5QI6, 5750493]
