[1868, 1213]
[section-title, [341.0, 235.0, 180.0, 49.5], 3MHmkCx7Ec, 5691482]
[author, [683.0, 243.0, 388.0, 36.0], cDxAT48roR, 5691482]
[author, [683.0, 279.0, 388.0, 36.0], cDxAT48roR, 5691482]
[paragraph, [428.0, 333.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [428.0, 369.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [428.0, 405.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [428.0, 441.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [428.0, 477.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [428.0, 513.0, 396.0, 36.0], TwhxONEmNT, 5691482]
[paragraph, [426.0, 564.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [426.0, 600.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [426.0, 636.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [426.0, 672.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [426.0, 708.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [426.0, 744.0, 397.0, 36.0], 1lyFxmW6_l, 5691482]
[paragraph, [432.0, 815.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [432.0, 851.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [432.0, 887.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [432.0, 923.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [432.0, 959.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [432.0, 995.0, 396.0, 36.0], 38WF6JH0Gu, 5691482]
[paragraph, [429.0, 1058.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [429.0, 1094.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [429.0, 1130.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [429.0, 1166.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [429.0, 1202.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [429.0, 1238.0, 399.0, 36.0], Wgn14BTNC2, 5691482]
[paragraph, [426.0, 1282.0, 400.0, 36.0], KY06u15QKC, 5691482]
[paragraph, [426.0, 1318.0, 400.0, 36.0], KY06u15QKC, 5691482]
[paragraph, [426.0, 1354.0, 400.0, 36.0], KY06u15QKC, 5691482]
[paragraph, [426.0, 1390.0, 400.0, 36.0], KY06u15QKC, 5691482]
[paragraph, [426.0, 1426.0, 400.0, 36.0], KY06u15QKC, 5691482]
[paragraph, [426.0, 1462.0, 400.0, 36.0], KY06u15QKC, 5691482]
[folio, [141.0, 1639.0, 248.0, 36.0], shoonya_0sXU14NZ0HKIJO, 5691482]
