[540, 960]
[section-title, [49.0, 96.0, 497.0, 30.0], shoonya_2sYSCMTYZMUXMP, 5715526]
[unordered-list, [3.0, 190.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 208.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 226.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 244.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 262.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 280.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 298.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 316.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 334.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 352.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 370.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 388.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 406.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 424.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 442.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[unordered-list, [3.0, 460.0, 943.0, 18.0], shoonya_3sU19C697Y2PSR, 5715526]
[folio, [863.0, 466.0, 95.0, 18.0], shoonya_0sBD6B7F5CPSH6, 5715526]
[folio, [863.0, 484.0, 95.0, 18.0], shoonya_0sBD6B7F5CPSH6, 5715526]
[folio, [863.0, 502.0, 95.0, 18.0], shoonya_0sBD6B7F5CPSH6, 5715526]
[folio, [1.0, 494.0, 109.0, 18.0], shoonya_1s57KFF2YGSJPY, 5715526]
[folio, [1.0, 512.0, 109.0, 18.0], shoonya_1s57KFF2YGSJPY, 5715526]
