[1650, 1275]
[paragraph, [173.0, 109.0, 926.0, 36.0], shoonya_1sYJYU3OVZCDF7, 5714394]
[paragraph, [173.0, 145.0, 926.0, 36.0], shoonya_1sYJYU3OVZCDF7, 5714394]
[paragraph, [173.0, 181.0, 926.0, 36.0], shoonya_1sYJYU3OVZCDF7, 5714394]
[paragraph, [166.0, 232.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 268.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 304.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 340.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 376.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 412.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 448.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 484.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 520.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 556.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 592.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 628.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 664.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 700.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 736.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 772.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 808.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 844.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 880.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 916.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 952.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 988.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [166.0, 1024.0, 941.0, 36.0], shoonya_2sPDP28A1010U6, 5714394]
[paragraph, [175.0, 1090.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1126.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1162.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1198.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1234.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1270.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[paragraph, [175.0, 1306.0, 927.0, 36.0], JevCJQqQS0, 5714394]
[footnote, [203.0, 1458.0, 291.0, 36.0], shoonya_0s1PURWTSJLH1M, 5714394]
