[1818, 1374]
[folio, [642.0, 101.0, 85.0, 36.0], shoonya_0sRZHQFMY5TOQH, 5682940]
[paragraph, [693.0, 173.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 209.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 245.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 281.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 317.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 353.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 389.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 425.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 461.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 497.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 533.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 569.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 605.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 641.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 677.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 713.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 749.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 785.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 821.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 857.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 893.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 929.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 965.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1001.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1037.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1073.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1109.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1145.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1181.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1217.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1253.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1289.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1325.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1361.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1397.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1433.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1469.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1505.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
[paragraph, [693.0, 1541.0, 578.0, 36.0], wxw5PMvBWO, 5682940]
