[1650, 1275]
[folio, [517.0, 149.0, 243.0, 36.0], kpFMBPB2v6, 5706743]
[folio, [517.0, 185.0, 243.0, 36.0], kpFMBPB2v6, 5706743]
[section-title, [513.0, 248.0, 253.0, 49.5], taEHPjXJkK, 5706743]
[paragraph, [138.0, 344.0, 929.0, 36.0], rzgM5U6dSR, 5706743]
[paragraph, [138.0, 380.0, 929.0, 36.0], rzgM5U6dSR, 5706743]
[ordered-list, [132.0, 449.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 485.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 521.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 557.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 593.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 629.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 665.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 701.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 737.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 773.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 809.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 845.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 881.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 917.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[ordered-list, [132.0, 953.0, 1008.0, 36.0], 4BgbA6Wtq7, 5706743]
[sub-ordered-list, [256.0, 461.0, 600.0, 36.0], PvlRHX-2Xg, 5706743]
[sub-ordered-list, [256.0, 497.0, 600.0, 36.0], PvlRHX-2Xg, 5706743]
[sub-ordered-list, [256.0, 533.0, 600.0, 36.0], PvlRHX-2Xg, 5706743]
[sub-ordered-list, [251.0, 606.0, 809.0, 36.0], kuJph9zsND, 5706743]
[sub-ordered-list, [251.0, 642.0, 809.0, 36.0], kuJph9zsND, 5706743]
[ordered-list, [135.0, 1073.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1109.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1145.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1181.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1217.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1253.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1289.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1325.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1361.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1397.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
[ordered-list, [135.0, 1433.0, 757.0, 36.0], mwuq_S3qiS, 5706743]
