[2200, 1700]
[paragraph, [420.0, 131.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 167.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 203.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 239.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 275.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 311.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [420.0, 347.0, 865.0, 36.0], shoonya_1s4UPG3ICN2KUT, 5660259]
[paragraph, [407.0, 391.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 427.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 463.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 499.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 535.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 571.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 607.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 643.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 679.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 715.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 751.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 787.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 823.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 859.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 895.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [407.0, 931.0, 887.0, 36.0], wtVYqnaiHt, 5660259]
[paragraph, [415.0, 1006.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1042.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1078.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1114.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1150.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1186.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1222.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1258.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1294.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1330.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1366.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1402.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [415.0, 1438.0, 866.0, 36.0], shoonya_0s9TZEGOS9Z5YD, 5660259]
[paragraph, [411.0, 1515.0, 884.0, 36.0], IG6IMEkCPH, 5660259]
[paragraph, [411.0, 1551.0, 884.0, 36.0], IG6IMEkCPH, 5660259]
[paragraph, [411.0, 1587.0, 884.0, 36.0], IG6IMEkCPH, 5660259]
[paragraph, [411.0, 1623.0, 884.0, 36.0], IG6IMEkCPH, 5660259]
