[1775, 1139]
[answer, [42.0, 235.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 271.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 307.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 343.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 379.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 415.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 451.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 487.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 523.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 559.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [42.0, 595.0, 988.0, 36.0], shoonya_1sWYNCOJ26GGYC, 5654101]
[answer, [60.0, 758.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [60.0, 794.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [60.0, 830.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [60.0, 866.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [60.0, 902.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [60.0, 938.0, 975.0, 36.0], shoonya_2s79A6Z7IK2FSI, 5654101]
[answer, [64.0, 1093.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1129.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1165.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1201.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1237.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1273.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1309.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [64.0, 1345.0, 972.0, 36.0], shoonya_0s9AQOGSIU6OYC, 5654101]
[answer, [68.0, 1514.0, 974.0, 36.0], 4XX1Q07tjV, 5654101]
[answer, [68.0, 1550.0, 974.0, 36.0], 4XX1Q07tjV, 5654101]
[answer, [68.0, 1586.0, 974.0, 36.0], 4XX1Q07tjV, 5654101]
