[3300, 2550]
[paragraph, [277.0, 274.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 326.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 379.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 431.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 484.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 536.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 589.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 641.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 694.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 746.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 799.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 851.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 904.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 956.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1009.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1061.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1114.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1166.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1219.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1271.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1324.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1376.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1429.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1481.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1534.0, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [277.0, 1586.5, 2011.0, 52.5], Su__wPhRKQ, 5720394]
[paragraph, [275.0, 1741.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 1793.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 1846.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 1898.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 1951.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2003.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2056.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2108.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2161.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2213.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2266.0, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [275.0, 2318.5, 2009.0, 52.5], shoonya_1s4H7GY3JGTZ0Y, 5720394]
[paragraph, [277.0, 2445.0, 886.0, 52.5], bguDR281LQ, 5720394]
[paragraph, [267.0, 2588.0, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2640.5, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2693.0, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2745.5, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2798.0, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2850.5, 2011.0, 52.5], e9ejrp9u5H, 5720394]
[paragraph, [267.0, 2903.0, 2011.0, 52.5], e9ejrp9u5H, 5720394]
