[1650, 1275]
[folio, [115.0, 30.0, 257.0, 36.0], shoonya_0sWKYIWYXXYMK3, 5775285]
[paragraph, [106.0, 116.0, 1048.0, 36.0], 90FbN9cOCT, 5775285]
[paragraph, [108.0, 189.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 225.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 261.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 297.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 333.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 369.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 405.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 441.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 477.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 513.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 549.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 585.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 621.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [108.0, 657.0, 1042.0, 36.0], un7ZN1B0EF, 5775285]
[paragraph, [106.0, 712.0, 1045.0, 36.0], 2bWbABI8Zn, 5775285]
[paragraph, [106.0, 748.0, 1045.0, 36.0], 2bWbABI8Zn, 5775285]
[paragraph, [106.0, 784.0, 1045.0, 36.0], 2bWbABI8Zn, 5775285]
[paragraph, [106.0, 820.0, 1045.0, 36.0], 2bWbABI8Zn, 5775285]
[paragraph, [105.0, 870.0, 1047.0, 36.0], JyU-krGBfW, 5775285]
[paragraph, [105.0, 906.0, 1047.0, 36.0], JyU-krGBfW, 5775285]
[paragraph, [105.0, 942.0, 1047.0, 36.0], JyU-krGBfW, 5775285]
[paragraph, [105.0, 978.0, 1047.0, 36.0], JyU-krGBfW, 5775285]
[paragraph, [100.0, 1026.0, 1058.0, 36.0], LgbLoMdxAr, 5775285]
[paragraph, [100.0, 1062.0, 1058.0, 36.0], LgbLoMdxAr, 5775285]
[paragraph, [100.0, 1098.0, 1058.0, 36.0], LgbLoMdxAr, 5775285]
[paragraph, [114.0, 1206.0, 1034.0, 36.0], zWIgnRbcRP, 5775285]
[paragraph, [114.0, 1242.0, 1034.0, 36.0], zWIgnRbcRP, 5775285]
[paragraph, [114.0, 1278.0, 1034.0, 36.0], zWIgnRbcRP, 5775285]
[paragraph, [105.0, 1335.0, 1047.0, 36.0], dZsnuGErpV, 5775285]
[paragraph, [105.0, 1371.0, 1047.0, 36.0], dZsnuGErpV, 5775285]
[paragraph, [105.0, 1407.0, 1047.0, 36.0], dZsnuGErpV, 5775285]
[paragraph, [108.0, 1460.0, 1021.0, 36.0], t-o86zuyqq, 5775285]
