[1948, 1214]
[folio, [906.0, 150.0, 177.0, 36.0], w2LHSGkqP0, 5732404]
[section-title, [206.0, 222.0, 86.0, 49.5], iKCFHuJSj8, 5732404]
[paragraph, [146.0, 294.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 330.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 366.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 402.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 438.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 474.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 510.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 546.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 582.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 618.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[paragraph, [146.0, 654.0, 823.0, 36.0], shoonya_1sZ4DCT2HYUA1W, 5732404]
[section-title, [186.0, 707.0, 83.0, 49.5], S-9lNLzPfP, 5732404]
[paragraph, [129.0, 776.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 812.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 848.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 884.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 920.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 956.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 992.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 1028.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 1064.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 1100.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 1136.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[paragraph, [129.0, 1172.0, 847.0, 36.0], shoonya_2sOHYWSPZ9RHQG, 5732404]
[section-title, [166.0, 1247.0, 87.0, 49.5], KidxY3lZp0, 5732404]
[paragraph, [115.0, 1319.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1355.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1391.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1427.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1463.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1499.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1535.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1571.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1607.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1643.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[paragraph, [115.0, 1679.0, 823.0, 36.0], shoonya_0sWWQXOPS7X9NU, 5732404]
[footnote, [145.0, 1723.0, 488.0, 36.0], YoE_pP8sfH, 5732404]
[folio, [506.0, 1846.0, 193.0, 36.0], xzJnLpYah3, 5732404]
