[899, 612]
[folio, [265.0, 34.0, 91.0, 18.0], shoonya_1sMVL1ZIJKKPDL, 6460067]
[folio, [265.0, 52.0, 91.0, 18.0], shoonya_1sMVL1ZIJKKPDL, 6460067]
[paragraph, [79.0, 88.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 106.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 124.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 142.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 160.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 178.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 196.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 214.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 232.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 250.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 268.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 286.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 304.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 322.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 340.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 358.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 376.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 394.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 412.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 430.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 448.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 466.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 484.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 502.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 520.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 538.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 556.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 574.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 592.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 610.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 628.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 646.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 664.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 682.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 700.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 718.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 736.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 754.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 772.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 790.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 808.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
[paragraph, [79.0, 826.0, 472.0, 18.0], shoonya_0sTL3A7TIM17C4, 6460067]
