[1388, 886]
[folio, [641.0, 65.0, 195.0, 18.0], SL3WwkbOHd, 5742784]
[folio, [641.0, 83.0, 195.0, 18.0], SL3WwkbOHd, 5742784]
[folio, [364.0, 72.0, 133.0, 18.0], CMakw3UHzN, 5742784]
[paragraph, [440.0, 132.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [440.0, 150.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [440.0, 168.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [440.0, 186.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [440.0, 204.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [440.0, 222.0, 399.0, 18.0], 5EKQOGzcVc, 5742784]
[paragraph, [22.0, 141.0, 398.0, 18.0], KpkrIKw6He, 5742784]
[paragraph, [22.0, 159.0, 398.0, 18.0], KpkrIKw6He, 5742784]
[paragraph, [22.0, 177.0, 398.0, 18.0], KpkrIKw6He, 5742784]
[paragraph, [22.0, 195.0, 398.0, 18.0], KpkrIKw6He, 5742784]
[paragraph, [22.0, 213.0, 398.0, 18.0], KpkrIKw6He, 5742784]
[paragraph, [444.0, 246.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 264.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 282.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 300.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 318.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 336.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 354.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 372.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 390.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 408.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 426.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 444.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [444.0, 462.0, 403.0, 18.0], -XTo55Y5ZK, 5742784]
[paragraph, [31.0, 247.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 265.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 283.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 301.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 319.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 337.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 355.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
[paragraph, [31.0, 373.0, 399.0, 18.0], EtE_Di_K0h, 5742784]
