[1518, 1075]
[folio, [450.0, 111.0, 75.0, 36.0], b21LvMby5i, 5722765]
[paragraph, [91.0, 173.0, 426.0, 36.0], shoonya_3s8GT9Q87HS478, 5722765]
[paragraph, [91.0, 209.0, 426.0, 36.0], shoonya_3s8GT9Q87HS478, 5722765]
[paragraph, [91.0, 245.0, 426.0, 36.0], shoonya_3s8GT9Q87HS478, 5722765]
[paragraph, [91.0, 281.0, 426.0, 36.0], shoonya_3s8GT9Q87HS478, 5722765]
[paragraph, [535.0, 174.0, 427.0, 36.0], shoonya_2sVKYZG4GN5BHZ, 5722765]
[paragraph, [535.0, 210.0, 427.0, 36.0], shoonya_2sVKYZG4GN5BHZ, 5722765]
[paragraph, [535.0, 246.0, 427.0, 36.0], shoonya_2sVKYZG4GN5BHZ, 5722765]
[paragraph, [535.0, 282.0, 427.0, 36.0], shoonya_2sVKYZG4GN5BHZ, 5722765]
[paragraph, [535.0, 318.0, 427.0, 36.0], shoonya_2sVKYZG4GN5BHZ, 5722765]
[paragraph, [87.0, 335.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 371.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 407.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 443.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 479.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 515.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 551.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 587.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 623.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 659.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 695.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 731.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 767.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 803.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 839.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 875.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 911.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 947.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 983.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 1019.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 1055.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 1091.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
[paragraph, [87.0, 1127.0, 435.0, 36.0], shoonya_5sY08OCTZP4YJP, 5722765]
