[3508, 2481]
[contact-info, [525.0, 105.0, 1486.0, 52.5], HoARMa-dER, 6491168]
[contact-info, [525.0, 157.5, 1486.0, 52.5], HoARMa-dER, 6491168]
[contact-info, [525.0, 210.0, 1486.0, 52.5], HoARMa-dER, 6491168]
[contact-info, [525.0, 262.5, 1486.0, 52.5], HoARMa-dER, 6491168]
[headline, [1057.0, 432.0, 348.0, 52.5], mOzHDoMKkf, 6491168]
[headline, [1057.0, 484.5, 348.0, 52.5], mOzHDoMKkf, 6491168]
[dateline, [208.0, 805.0, 478.0, 52.5], i83BSzj_8j, 6491168]
[paragraph, [192.0, 1069.0, 509.0, 52.5], fzOcczvCKo, 6491168]
[paragraph, [164.0, 1187.0, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[paragraph, [164.0, 1239.5, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[paragraph, [164.0, 1292.0, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[paragraph, [164.0, 1344.5, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[paragraph, [164.0, 1397.0, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[paragraph, [164.0, 1449.5, 2163.0, 52.5], YTFbkxyM3J, 6491168]
[ordered-list, [245.0, 1601.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1653.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1706.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1758.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1811.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1863.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1916.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 1968.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 2021.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 2073.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 2126.0, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[ordered-list, [245.0, 2178.5, 2070.0, 52.5], FE8dRrq5jT, 6491168]
[contact-info, [1784.0, 2643.0, 485.0, 52.5], uYX5xoE3YW, 6491168]
[contact-info, [1784.0, 2695.5, 485.0, 52.5], uYX5xoE3YW, 6491168]
[contact-info, [976.0, 3290.0, 519.0, 52.5], tbRk3TJutR, 6491168]
