[2481, 1654]
[folio, [1184.0, 97.0, 139.0, 36.0], oNgg6mo8iv, 5721071]
[paragraph, [164.0, 206.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 242.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 278.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 314.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 350.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 386.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 422.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 458.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [164.0, 494.0, 1272.0, 36.0], shoonya_0s8RQLE3EDA28Y, 5721071]
[paragraph, [166.0, 534.0, 1269.0, 36.0], ksEhvpTjCU, 5721071]
[paragraph, [166.0, 570.0, 1269.0, 36.0], ksEhvpTjCU, 5721071]
[paragraph, [223.0, 635.0, 1211.0, 36.0], XveeyUxRNB, 5721071]
[paragraph, [232.0, 688.0, 214.0, 36.0], kYERusdOpr, 5721071]
[paragraph, [227.0, 738.0, 1052.0, 36.0], 9zuaI85A7A, 5721071]
[paragraph, [167.0, 794.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 830.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 866.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 902.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 938.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 974.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [167.0, 1010.0, 1271.0, 36.0], OGaf73opWX, 5721071]
[paragraph, [223.0, 1054.0, 833.0, 36.0], 7R6U2nSCCi, 5721071]
[paragraph, [217.0, 1106.0, 329.0, 36.0], SEs7nSAYqz, 5721071]
[paragraph, [155.0, 1160.0, 1273.0, 36.0], _BlGFE4Uwc, 5721071]
[paragraph, [155.0, 1196.0, 1273.0, 36.0], _BlGFE4Uwc, 5721071]
[paragraph, [165.0, 1261.0, 1258.0, 36.0], XdxFVSpl6j, 5721071]
[paragraph, [165.0, 1297.0, 1258.0, 36.0], XdxFVSpl6j, 5721071]
[paragraph, [165.0, 1333.0, 1258.0, 36.0], XdxFVSpl6j, 5721071]
[paragraph, [165.0, 1369.0, 1258.0, 36.0], XdxFVSpl6j, 5721071]
[paragraph, [165.0, 1405.0, 1258.0, 36.0], XdxFVSpl6j, 5721071]
[paragraph, [218.0, 1468.0, 1205.0, 36.0], bRYRdzp-P_, 5721071]
[paragraph, [227.0, 1521.0, 716.0, 36.0], Wc4cuHbOiX, 5721071]
[paragraph, [229.0, 1574.0, 654.0, 36.0], 9leBj-6jak, 5721071]
[paragraph, [160.0, 1626.0, 1281.0, 36.0], _p7jnY5ZId, 5721071]
[paragraph, [160.0, 1662.0, 1281.0, 36.0], _p7jnY5ZId, 5721071]
[paragraph, [160.0, 1698.0, 1281.0, 36.0], _p7jnY5ZId, 5721071]
[paragraph, [160.0, 1734.0, 1281.0, 36.0], _p7jnY5ZId, 5721071]
[paragraph, [165.0, 1781.0, 1280.0, 36.0], CHKwYOGG4u, 5721071]
[paragraph, [165.0, 1817.0, 1280.0, 36.0], CHKwYOGG4u, 5721071]
[paragraph, [165.0, 1853.0, 1280.0, 36.0], CHKwYOGG4u, 5721071]
[paragraph, [165.0, 1889.0, 1280.0, 36.0], CHKwYOGG4u, 5721071]
[paragraph, [165.0, 1925.0, 1280.0, 36.0], CHKwYOGG4u, 5721071]
[paragraph, [166.0, 1992.0, 1264.0, 36.0], shoonya_2sGWX6GZ3LYPAR, 5721071]
[paragraph, [166.0, 2028.0, 1264.0, 36.0], shoonya_2sGWX6GZ3LYPAR, 5721071]
[paragraph, [164.0, 2100.0, 1285.0, 36.0], 8DCGEurDSR, 5721071]
[paragraph, [164.0, 2136.0, 1285.0, 36.0], 8DCGEurDSR, 5721071]
