[792, 612]
[folio, [242.0, 43.0, 280.0, 18.0], iQjdEUZ-CO, 5744345]
[paragraph, [117.0, 69.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 87.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 105.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 123.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 141.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 159.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 177.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 195.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 213.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 231.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 249.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 267.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 285.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 303.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 321.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 339.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 357.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 375.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 393.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 411.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 429.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 447.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [117.0, 465.0, 408.0, 18.0], shoonya_1sF3K29BM8SQWB, 5744345]
[paragraph, [114.0, 494.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 512.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 530.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 548.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 566.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 584.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 602.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 620.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 638.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 656.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
[paragraph, [114.0, 674.0, 407.0, 18.0], shoonya_0s0I4NYX3CW4U9, 5744345]
