[679, 512]
[section-title, [53.0, 38.0, 407.0, 30.0], IozinHK-Pu, 6494851]
[paragraph, [47.0, 86.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 104.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 122.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 140.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 158.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 176.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 194.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 212.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 230.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 248.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 266.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [47.0, 284.0, 416.0, 18.0], MucTjNFRFi, 6494851]
[paragraph, [186.0, 338.0, 141.0, 18.0], ZVJYfu9_nT, 6494851]
[paragraph, [186.0, 356.0, 141.0, 18.0], ZVJYfu9_nT, 6494851]
[paragraph, [186.0, 374.0, 141.0, 18.0], ZVJYfu9_nT, 6494851]
[paragraph, [186.0, 392.0, 141.0, 18.0], ZVJYfu9_nT, 6494851]
[contact-info, [279.0, 415.0, 147.0, 18.0], NeOMgHN_m6, 6494851]
[contact-info, [279.0, 433.0, 147.0, 18.0], NeOMgHN_m6, 6494851]
[paragraph, [200.0, 467.0, 109.0, 18.0], 23tbnYtAyO, 6494851]
[paragraph, [55.0, 495.0, 216.0, 18.0], c2IaXJRTFf, 6494851]
[paragraph, [53.0, 554.0, 405.0, 18.0], LWE224MhcS, 6494851]
[paragraph, [53.0, 572.0, 405.0, 18.0], LWE224MhcS, 6494851]
