[872, 605]
[paragraph, [71.0, 66.0, 448.0, 18.0], shoonya_0sBLQPUY829LYN, 6456925]
[reference, [391.0, 94.0, 120.0, 18.0], 4UejaY0XzX, 6456925]
[paragraph, [43.0, 115.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 133.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 151.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 169.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 187.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 205.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 223.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 241.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 259.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 277.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 295.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 313.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 331.0, 508.0, 18.0], My15qa6iAZ, 6456925]
[paragraph, [43.0, 351.0, 515.0, 18.0], gbC_UX6jTj, 6456925]
[paragraph, [43.0, 369.0, 515.0, 18.0], gbC_UX6jTj, 6456925]
[paragraph, [167.0, 393.0, 289.0, 18.0], 3e62UIi2vs, 6456925]
[paragraph, [167.0, 411.0, 289.0, 18.0], 3e62UIi2vs, 6456925]
[paragraph, [46.0, 436.0, 510.0, 18.0], 6NyhDVIM8z, 6456925]
[paragraph, [46.0, 454.0, 510.0, 18.0], 6NyhDVIM8z, 6456925]
[paragraph, [122.0, 478.0, 336.0, 18.0], N5h1MaBxBx, 6456925]
[paragraph, [122.0, 496.0, 336.0, 18.0], N5h1MaBxBx, 6456925]
[reference, [458.0, 503.0, 86.0, 18.0], _wFdhK8dbv, 6456925]
[paragraph, [49.0, 523.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 541.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 559.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 577.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 595.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 613.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [49.0, 631.0, 507.0, 18.0], fhwmFyJbPt, 6456925]
[paragraph, [68.0, 654.0, 422.0, 18.0], _RuO8GmQcO, 6456925]
[reference, [486.0, 658.0, 69.0, 18.0], vkV7HPmL54, 6456925]
[paragraph, [69.0, 678.0, 450.0, 18.0], ftfl9b_vhB, 6456925]
[reference, [435.0, 700.0, 85.0, 18.0], P3u8oAPW_F, 6456925]
[paragraph, [44.0, 719.0, 516.0, 18.0], KERPUxnGSW, 6456925]
[paragraph, [44.0, 737.0, 516.0, 18.0], KERPUxnGSW, 6456925]
[paragraph, [44.0, 755.0, 516.0, 18.0], KERPUxnGSW, 6456925]
[paragraph, [44.0, 773.0, 516.0, 18.0], KERPUxnGSW, 6456925]
[paragraph, [44.0, 791.0, 516.0, 18.0], KERPUxnGSW, 6456925]
[paragraph, [68.0, 806.0, 367.0, 18.0], TM_PAnA1nk, 6456925]
[reference, [429.0, 807.0, 89.0, 18.0], VMbvrTKRWW, 6456925]
