[2339, 1653]
[paragraph, [324.0, 162.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 198.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 234.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 270.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 306.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 342.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 378.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 414.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [324.0, 450.0, 1135.0, 36.0], shoonya_1s28S22TI5RY6W, 5733892]
[paragraph, [332.0, 506.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 542.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 578.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 614.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 650.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 686.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 722.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 758.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 794.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 830.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 866.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 902.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 938.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 974.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1010.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1046.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1082.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1118.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1154.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
[paragraph, [332.0, 1190.0, 1132.0, 36.0], shoonya_2sECTY3A2AQ4P0, 5733892]
