[5478, 3644]
[folio, [2231.0, 464.0, 883.0, 52.5], KYFBUIxlQ_, 5709872]
[folio, [2231.0, 516.5, 883.0, 52.5], KYFBUIxlQ_, 5709872]
[folio, [2231.0, 569.0, 883.0, 52.5], KYFBUIxlQ_, 5709872]
[paragraph, [553.0, 676.0, 374.0, 52.5], shoonya_2sNG7SW0868O73, 5709872]
[paragraph, [737.0, 791.0, 2000.0, 52.5], FkHgHdaaCj, 5709872]
[paragraph, [737.0, 843.5, 2000.0, 52.5], FkHgHdaaCj, 5709872]
[quote, [504.0, 931.0, 2592.0, 52.5], eThQCjx-bi, 5709872]
[quote, [504.0, 983.5, 2592.0, 52.5], eThQCjx-bi, 5709872]
[quote, [504.0, 1036.0, 2592.0, 52.5], eThQCjx-bi, 5709872]
[quote, [504.0, 1088.5, 2592.0, 52.5], eThQCjx-bi, 5709872]
[quote, [504.0, 1141.0, 2592.0, 52.5], eThQCjx-bi, 5709872]
[paragraph, [721.0, 1186.0, 2190.0, 52.5], 3D0F09tiXW, 5709872]
[paragraph, [721.0, 1238.5, 2190.0, 52.5], 3D0F09tiXW, 5709872]
[quote, [748.0, 1311.0, 1816.0, 52.5], Abl_fyyYs4, 5709872]
[quote, [748.0, 1363.5, 1816.0, 52.5], Abl_fyyYs4, 5709872]
[paragraph, [699.0, 1441.0, 2244.0, 52.5], GBp12oy5X4, 5709872]
[paragraph, [699.0, 1493.5, 2244.0, 52.5], GBp12oy5X4, 5709872]
[quote, [536.0, 1555.0, 2554.0, 52.5], fW6epw_REs, 5709872]
[quote, [536.0, 1607.5, 2554.0, 52.5], fW6epw_REs, 5709872]
[quote, [536.0, 1660.0, 2554.0, 52.5], fW6epw_REs, 5709872]
[quote, [536.0, 1712.5, 2554.0, 52.5], fW6epw_REs, 5709872]
[quote, [536.0, 1765.0, 2554.0, 52.5], fW6epw_REs, 5709872]
[paragraph, [488.0, 1825.0, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 1877.5, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 1930.0, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 1982.5, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 2035.0, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 2087.5, 2651.0, 52.5], wgTF3HLOtC, 5709872]
[paragraph, [488.0, 2140.0, 2651.0, 52.5], wgTF3HLOtC, 5709872]
