[3509, 2482]
[folio, [875.0, 216.0, 467.0, 52.5], shoonya_2sFV2RFYI8E9CL, 5692402]
[paragraph, [166.0, 319.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 371.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 424.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 476.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 529.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 581.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 634.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 686.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 739.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 791.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 844.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 896.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 949.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 1001.5, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [166.0, 1054.0, 1898.0, 52.5], shoonya_0sLCN68DT0KF7P, 5692402]
[paragraph, [157.0, 1335.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1387.5, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1440.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1492.5, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1545.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1597.5, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1650.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1702.5, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1755.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1807.5, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [157.0, 1860.0, 1907.0, 52.5], shoonya_1sKX8NUTP505PK, 5692402]
[paragraph, [198.0, 2134.0, 1144.0, 52.5], 33KcUDVeX9, 5692402]
[paragraph, [179.0, 2218.0, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2270.5, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2323.0, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2375.5, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2428.0, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2480.5, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2533.0, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2585.5, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [179.0, 2638.0, 1814.0, 52.5], shoonya_4sY1UNR90V4LLL, 5692402]
[paragraph, [176.0, 2702.0, 1827.0, 52.5], 2PIh82mktA, 5692402]
[paragraph, [176.0, 2754.5, 1827.0, 52.5], 2PIh82mktA, 5692402]
[paragraph, [179.0, 2854.0, 1852.0, 52.5], Qrm35ydSqY, 5692402]
[paragraph, [179.0, 2906.5, 1852.0, 52.5], Qrm35ydSqY, 5692402]
[paragraph, [179.0, 2959.0, 1852.0, 52.5], Qrm35ydSqY, 5692402]
[paragraph, [189.0, 3009.0, 1833.0, 52.5], x2v-bvnrjT, 5692402]
[paragraph, [189.0, 3061.5, 1833.0, 52.5], x2v-bvnrjT, 5692402]
[paragraph, [266.0, 3161.0, 561.0, 52.5], XW6ibTOTVX, 5692402]
[paragraph, [288.0, 3239.0, 1681.0, 52.5], ZHKL09j5mV, 5692402]
