[1736, 1323]
[headline, [341.0, 181.0, 669.0, 37.5], shoonya_4sP5N2IDRZC4F1, 5772006]
[headline, [341.0, 218.5, 669.0, 37.5], shoonya_4sP5N2IDRZC4F1, 5772006]
[paragraph, [152.0, 283.0, 1013.0, 36.0], shoonya_15sC74BIVEBWXF, 5772006]
[paragraph, [152.0, 319.0, 1013.0, 36.0], shoonya_15sC74BIVEBWXF, 5772006]
[paragraph, [152.0, 355.0, 1013.0, 36.0], shoonya_15sC74BIVEBWXF, 5772006]
[paragraph, [152.0, 391.0, 1013.0, 36.0], shoonya_15sC74BIVEBWXF, 5772006]
[paragraph, [149.0, 437.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [149.0, 473.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [149.0, 509.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [149.0, 545.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [149.0, 581.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [149.0, 617.0, 1017.0, 36.0], shoonya_16sQJ6IY7M8CG1, 5772006]
[paragraph, [153.0, 691.0, 1018.0, 36.0], shoonya_9s55T1L2RX0DPR, 5772006]
[paragraph, [153.0, 727.0, 1018.0, 36.0], shoonya_9s55T1L2RX0DPR, 5772006]
[paragraph, [153.0, 763.0, 1018.0, 36.0], shoonya_9s55T1L2RX0DPR, 5772006]
[author, [917.0, 833.0, 254.0, 36.0], X6xurnyRqJ, 5772006]
[paragraph, [121.0, 919.0, 533.0, 36.0], shoonya_6sA0ZIVJ99ZGKR, 5772006]
[paragraph, [121.0, 955.0, 533.0, 36.0], shoonya_6sA0ZIVJ99ZGKR, 5772006]
[paragraph, [121.0, 991.0, 533.0, 36.0], shoonya_6sA0ZIVJ99ZGKR, 5772006]
[paragraph, [121.0, 1027.0, 533.0, 36.0], shoonya_6sA0ZIVJ99ZGKR, 5772006]
[paragraph, [669.0, 962.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 998.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 1034.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 1070.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 1106.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 1142.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [669.0, 1178.0, 534.0, 36.0], shoonya_1s6GZ5C86N7UD4, 5772006]
[paragraph, [117.0, 1105.0, 538.0, 36.0], shoonya_2sUAFUAKN9TE5N, 5772006]
[paragraph, [117.0, 1141.0, 538.0, 36.0], shoonya_2sUAFUAKN9TE5N, 5772006]
[paragraph, [117.0, 1177.0, 538.0, 36.0], shoonya_2sUAFUAKN9TE5N, 5772006]
[paragraph, [117.0, 1213.0, 538.0, 36.0], shoonya_2sUAFUAKN9TE5N, 5772006]
[paragraph, [669.0, 1235.0, 533.0, 36.0], shoonya_3sEMM7UEXK48AF, 5772006]
[paragraph, [669.0, 1271.0, 533.0, 36.0], shoonya_3sEMM7UEXK48AF, 5772006]
[paragraph, [669.0, 1307.0, 533.0, 36.0], shoonya_3sEMM7UEXK48AF, 5772006]
[paragraph, [669.0, 1343.0, 533.0, 36.0], shoonya_3sEMM7UEXK48AF, 5772006]
[paragraph, [118.0, 1294.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1330.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1366.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1402.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1438.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1474.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [118.0, 1510.0, 537.0, 36.0], shoonya_0sEFCSJWJ705MU, 5772006]
[paragraph, [668.0, 1393.0, 535.0, 36.0], shoonya_11s0NIHUNWEVFT, 5772006]
[paragraph, [668.0, 1429.0, 535.0, 36.0], shoonya_11s0NIHUNWEVFT, 5772006]
[paragraph, [668.0, 1465.0, 535.0, 36.0], shoonya_11s0NIHUNWEVFT, 5772006]
[paragraph, [668.0, 1501.0, 535.0, 36.0], shoonya_11s0NIHUNWEVFT, 5772006]
[folio, [82.0, 1689.0, 155.0, 36.0], XudUaTzyrP, 5772006]
