[6000, 4167]
[folio, [1145.0, 614.0, 1817.0, 52.5], fTltcFAUjp, 5721635]
[folio, [1145.0, 666.5, 1817.0, 52.5], fTltcFAUjp, 5721635]
[folio, [1145.0, 719.0, 1817.0, 52.5], fTltcFAUjp, 5721635]
[paragraph, [531.0, 903.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 955.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1008.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1060.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1113.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1165.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1218.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1270.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1323.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1375.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1428.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1480.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1533.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1585.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1638.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1690.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1743.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1795.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1848.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1900.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 1953.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2005.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2058.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2110.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2163.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2215.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2268.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2320.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2373.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2425.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2478.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2530.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2583.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2635.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2688.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2740.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2793.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2845.5, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
[paragraph, [531.0, 2898.0, 3139.0, 52.5], shoonya_0sXMOSVSA3VFGS, 5721635]
