[1288, 845]
[paragraph, [38.0, 44.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 62.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 80.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 98.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 116.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 134.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 152.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 170.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 188.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 206.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [38.0, 224.0, 767.0, 18.0], shoonya_6sMTT01D49Z0LT, 5751111]
[paragraph, [36.0, 240.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 258.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 276.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 294.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 312.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 330.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 348.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [36.0, 366.0, 763.0, 18.0], shoonya_3sQCKGPAY2BXHA, 5751111]
[paragraph, [133.0, 397.0, 464.0, 18.0], shoonya_9sHEX4ETVCVW04, 5751111]
[paragraph, [133.0, 415.0, 464.0, 18.0], shoonya_9sHEX4ETVCVW04, 5751111]
[paragraph, [27.0, 435.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 453.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 471.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 489.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 507.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 525.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 543.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 561.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 579.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 597.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 615.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 633.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 651.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 669.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [27.0, 687.0, 773.0, 18.0], shoonya_2sZPD0X1HDKVNG, 5751111]
[paragraph, [126.0, 706.0, 382.0, 18.0], shoonya_5s3DKMC3U0K5LG, 5751111]
[paragraph, [126.0, 724.0, 382.0, 18.0], shoonya_5s3DKMC3U0K5LG, 5751111]
[paragraph, [123.0, 751.0, 553.0, 18.0], shoonya_8sBS2XBHK3OZMN, 5751111]
[paragraph, [123.0, 769.0, 553.0, 18.0], shoonya_8sBS2XBHK3OZMN, 5751111]
[paragraph, [127.0, 784.0, 425.0, 18.0], shoonya_10sU7CMEK6A1ZL, 5751111]
[paragraph, [127.0, 802.0, 425.0, 18.0], shoonya_10sU7CMEK6A1ZL, 5751111]
[paragraph, [27.0, 824.0, 760.0, 18.0], shoonya_1sVO40ZN77E7DP, 5751111]
[paragraph, [27.0, 842.0, 760.0, 18.0], shoonya_1sVO40ZN77E7DP, 5751111]
[paragraph, [27.0, 860.0, 760.0, 18.0], shoonya_1sVO40ZN77E7DP, 5751111]
[paragraph, [27.0, 878.0, 760.0, 18.0], shoonya_1sVO40ZN77E7DP, 5751111]
[paragraph, [22.0, 900.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 918.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 936.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 954.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 972.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 990.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 1008.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 1026.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 1044.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 1062.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [22.0, 1080.0, 763.0, 18.0], shoonya_0sI3B4SYZL7HKY, 5751111]
[paragraph, [23.0, 1098.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
[paragraph, [23.0, 1116.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
[paragraph, [23.0, 1134.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
[paragraph, [23.0, 1152.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
[paragraph, [23.0, 1170.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
[paragraph, [23.0, 1188.0, 761.0, 18.0], shoonya_7s7SQYNCVMIDLH, 5751111]
