[1601, 1158]
[section-title, [102.0, 89.0, 301.0, 49.5], _yPeXsDfy3, 5695654]
[unordered-list, [118.0, 244.0, 924.0, 36.0], shoonya_0sIA55HEZ3HDMK, 5695654]
[unordered-list, [118.0, 280.0, 924.0, 36.0], shoonya_0sIA55HEZ3HDMK, 5695654]
[unordered-list, [118.0, 316.0, 924.0, 36.0], shoonya_0sIA55HEZ3HDMK, 5695654]
[unordered-list, [118.0, 352.0, 924.0, 36.0], shoonya_0sIA55HEZ3HDMK, 5695654]
[unordered-list, [118.0, 480.0, 922.0, 36.0], shoonya_4s215PP3SRE0TY, 5695654]
[unordered-list, [118.0, 516.0, 922.0, 36.0], shoonya_4s215PP3SRE0TY, 5695654]
[unordered-list, [115.0, 671.0, 936.0, 36.0], shoonya_9sYHB0M68U8J1M, 5695654]
[unordered-list, [115.0, 707.0, 936.0, 36.0], shoonya_9sYHB0M68U8J1M, 5695654]
[unordered-list, [104.0, 829.0, 956.0, 36.0], togPbJOg6d, 5695654]
[unordered-list, [104.0, 865.0, 956.0, 36.0], togPbJOg6d, 5695654]
[unordered-list, [117.0, 991.0, 925.0, 36.0], shoonya_1sNCHF9OOAC4HU, 5695654]
[unordered-list, [117.0, 1027.0, 925.0, 36.0], shoonya_1sNCHF9OOAC4HU, 5695654]
[unordered-list, [117.0, 1063.0, 925.0, 36.0], shoonya_1sNCHF9OOAC4HU, 5695654]
[unordered-list, [117.0, 1099.0, 925.0, 36.0], shoonya_1sNCHF9OOAC4HU, 5695654]
[unordered-list, [117.0, 1225.0, 930.0, 36.0], shoonya_2sNPPJSX3OSMAG, 5695654]
[unordered-list, [117.0, 1261.0, 930.0, 36.0], shoonya_2sNPPJSX3OSMAG, 5695654]
[unordered-list, [110.0, 1419.0, 705.0, 36.0], shoonya_7sVOADH19RL1MU, 5695654]
