[789, 571]
[folio, [239.0, 54.0, 110.0, 18.0], shoonya_1sFSETUUULUPV3, 5702533]
[paragraph, [68.0, 92.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 110.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 128.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 146.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 164.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 182.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 200.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [68.0, 218.0, 459.0, 18.0], shoonya_2s3BFWIE84FARJ, 5702533]
[paragraph, [71.0, 248.0, 455.0, 18.0], shoonya_4s9KKBKWPXW4NO, 5702533]
[paragraph, [71.0, 266.0, 455.0, 18.0], shoonya_4s9KKBKWPXW4NO, 5702533]
[paragraph, [67.0, 292.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [67.0, 310.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [67.0, 328.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [67.0, 346.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [67.0, 364.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [67.0, 382.0, 461.0, 18.0], shoonya_0sUZGA36GIU7SY, 5702533]
[paragraph, [65.0, 404.0, 463.0, 18.0], YHAkDMX7iu, 5702533]
[paragraph, [65.0, 422.0, 463.0, 18.0], YHAkDMX7iu, 5702533]
[paragraph, [65.0, 440.0, 463.0, 18.0], YHAkDMX7iu, 5702533]
[paragraph, [65.0, 458.0, 463.0, 18.0], YHAkDMX7iu, 5702533]
[paragraph, [66.0, 489.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 507.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 525.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 543.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 561.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 579.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 597.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 615.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 633.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 651.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 669.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
[paragraph, [66.0, 687.0, 460.0, 18.0], Ju2vDHjysL, 5702533]
