[1240, 873]
[chapter-title, [253.0, 52.0, 264.0, 30.0], shoonya_4s1QIB9KZLTKN9, 5776733]
[paragraph, [68.0, 91.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 109.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 127.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 145.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 163.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 181.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 199.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [68.0, 217.0, 633.0, 18.0], shoonya_3sT14HVL810IWA, 5776733]
[paragraph, [71.0, 240.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 258.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 276.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 294.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 312.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 330.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 348.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 366.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 384.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 402.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 420.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 438.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 456.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 474.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 492.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 510.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 528.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 546.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 564.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 582.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [71.0, 600.0, 632.0, 18.0], shoonya_0s3HBGS4FDM011, 5776733]
[paragraph, [72.0, 624.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 642.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 660.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 678.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 696.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 714.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 732.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 750.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 768.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [72.0, 786.0, 630.0, 18.0], shoonya_1sUID17TOAMES7, 5776733]
[paragraph, [75.0, 809.0, 631.0, 18.0], shoonya_2sJXZFBYQ83UMU, 5776733]
[paragraph, [75.0, 827.0, 631.0, 18.0], shoonya_2sJXZFBYQ83UMU, 5776733]
[paragraph, [75.0, 845.0, 631.0, 18.0], shoonya_2sJXZFBYQ83UMU, 5776733]
[paragraph, [75.0, 863.0, 631.0, 18.0], shoonya_2sJXZFBYQ83UMU, 5776733]
[paragraph, [75.0, 881.0, 631.0, 18.0], shoonya_2sJXZFBYQ83UMU, 5776733]
