[666, 465]
[folio, [226.0, 63.0, 69.0, 18.0], NiHkRdJ6b7, 6464656]
[paragraph, [106.0, 99.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [106.0, 117.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [106.0, 135.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [106.0, 153.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [106.0, 171.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [106.0, 189.0, 320.0, 18.0], flqhx0q80c, 6464656]
[paragraph, [108.0, 214.0, 302.0, 18.0], anZyavXwb_, 6464656]
[paragraph, [108.0, 232.0, 302.0, 18.0], anZyavXwb_, 6464656]
[paragraph, [108.0, 250.0, 302.0, 18.0], anZyavXwb_, 6464656]
[paragraph, [108.0, 268.0, 302.0, 18.0], anZyavXwb_, 6464656]
[paragraph, [108.0, 286.0, 302.0, 18.0], anZyavXwb_, 6464656]
[paragraph, [103.0, 308.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 326.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 344.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 362.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 380.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 398.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 416.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 434.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 452.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 470.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 488.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 506.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 524.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 542.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[paragraph, [103.0, 560.0, 327.0, 18.0], Jkt8LHUkoj, 6464656]
[footnote, [109.0, 636.0, 248.0, 18.0], KDiL6QNTiJ, 6464656]
