[1545, 2000]
[headline, [30.0, 71.0, 475.0, 37.5], CLpDtQU5j2, 6490631]
[headline, [30.0, 108.5, 475.0, 37.5], CLpDtQU5j2, 6490631]
[headline, [30.0, 146.0, 475.0, 37.5], CLpDtQU5j2, 6490631]
[headline, [30.0, 183.5, 475.0, 37.5], CLpDtQU5j2, 6490631]
[folio, [1379.0, 366.0, 218.0, 36.0], jCVllB5DTG, 6490631]
[folio, [727.0, 369.0, 193.0, 36.0], ryLIUoVmw2, 6490631]
[section-title, [712.0, 468.0, 536.0, 49.5], nYu8gJWkbN, 6490631]
[section-title, [1376.0, 470.0, 541.0, 49.5], lR6V2FX0RU, 6490631]
[paragraph, [1374.0, 554.0, 549.0, 36.0], TovDqHWY5R, 6490631]
[paragraph, [1374.0, 590.0, 549.0, 36.0], TovDqHWY5R, 6490631]
[paragraph, [1374.0, 626.0, 549.0, 36.0], TovDqHWY5R, 6490631]
[paragraph, [1374.0, 662.0, 549.0, 36.0], TovDqHWY5R, 6490631]
[paragraph, [712.0, 557.0, 552.0, 36.0], ivz8M81ujh, 6490631]
[paragraph, [712.0, 593.0, 552.0, 36.0], ivz8M81ujh, 6490631]
[paragraph, [712.0, 629.0, 552.0, 36.0], ivz8M81ujh, 6490631]
[paragraph, [712.0, 665.0, 552.0, 36.0], ivz8M81ujh, 6490631]
[headline, [1376.0, 811.0, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 848.5, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 886.0, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 923.5, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 961.0, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 998.5, 417.0, 37.5], tBJ1avfti_, 6490631]
[headline, [1376.0, 1036.0, 417.0, 37.5], tBJ1avfti_, 6490631]
[folio, [717.0, 1112.0, 208.0, 36.0], 0FuVWxl2hn, 6490631]
[folio, [38.0, 1132.0, 216.0, 36.0], O0iDX0Aagp, 6490631]
[contact-info, [1379.0, 1142.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1178.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1214.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1250.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1286.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1322.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1358.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1394.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[contact-info, [1379.0, 1430.0, 519.0, 36.0], 6kJjzEpxkK, 6490631]
[section-title, [709.0, 1219.0, 547.0, 49.5], ahrnadZmug, 6490631]
[section-title, [43.0, 1226.0, 551.0, 49.5], 2wB2yTKSpw, 6490631]
[paragraph, [43.0, 1305.0, 544.0, 36.0], yQI90dnYMk, 6490631]
[paragraph, [43.0, 1341.0, 544.0, 36.0], yQI90dnYMk, 6490631]
[paragraph, [43.0, 1377.0, 544.0, 36.0], yQI90dnYMk, 6490631]
[paragraph, [43.0, 1413.0, 544.0, 36.0], yQI90dnYMk, 6490631]
[paragraph, [704.0, 1305.0, 552.0, 36.0], zlKD2dKbXw, 6490631]
[paragraph, [704.0, 1341.0, 552.0, 36.0], zlKD2dKbXw, 6490631]
[paragraph, [704.0, 1377.0, 552.0, 36.0], zlKD2dKbXw, 6490631]
[paragraph, [704.0, 1413.0, 552.0, 36.0], zlKD2dKbXw, 6490631]
