[2484, 1767]
[paragraph, [350.0, 373.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 409.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 445.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 481.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 517.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 553.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 589.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 625.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 661.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 697.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 733.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 769.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 805.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 841.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 877.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 913.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 949.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 985.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1021.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1057.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1093.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1129.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1165.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1201.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1237.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1273.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1309.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1345.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1381.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1417.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1453.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1489.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1525.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1561.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1597.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1633.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1669.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1705.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1741.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1777.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [350.0, 1813.0, 1213.0, 36.0], shoonya_0sWHR030GKP24P, 5753319]
[paragraph, [336.0, 1871.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 1907.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 1943.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 1979.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2015.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2051.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2087.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2123.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2159.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2195.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
[paragraph, [336.0, 2231.0, 1236.0, 36.0], 1RaR1AkkeI, 5753319]
