[5478, 3644]
[contact-info, [418.0, 482.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 534.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 587.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 639.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 692.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 744.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 797.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 849.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 902.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 954.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 1007.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 1059.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 1112.0, 2738.0, 52.5], JOf99HERHn, 5709887]
[contact-info, [418.0, 1164.5, 2738.0, 52.5], JOf99HERHn, 5709887]
[dateline, [454.0, 2536.0, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2588.5, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2641.0, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2693.5, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2746.0, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2798.5, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2851.0, 1180.0, 52.5], osUD-oibR6, 5709887]
[dateline, [454.0, 2903.5, 1180.0, 52.5], osUD-oibR6, 5709887]
[folio, [519.0, 4365.0, 822.0, 52.5], aDMh9PBigb, 5709887]
[folio, [519.0, 4417.5, 822.0, 52.5], aDMh9PBigb, 5709887]
[contact-info, [549.0, 4517.0, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
[contact-info, [549.0, 4569.5, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
[contact-info, [549.0, 4622.0, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
[contact-info, [549.0, 4674.5, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
[contact-info, [549.0, 4727.0, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
[contact-info, [549.0, 4779.5, 2526.0, 52.5], shoonya_1s69UO5LBBUM3R, 5709887]
