[1948, 1214]
[folio, [900.0, 127.0, 180.0, 36.0], ee042Zz_h1, 5732788]
[section-title, [186.0, 215.0, 100.0, 49.5], J4ICBqvNH5, 5732788]
[paragraph, [149.0, 282.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 318.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 354.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 390.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 426.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 462.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 498.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 534.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 570.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 606.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 642.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 678.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 714.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 750.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 786.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 822.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 858.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 894.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 930.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 966.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1002.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1038.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1074.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1110.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1146.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1182.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1218.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1254.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [149.0, 1290.0, 938.0, 36.0], shoonya_0sCJTZH8G252PJ, 5732788]
[paragraph, [145.0, 1431.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[paragraph, [145.0, 1467.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[paragraph, [145.0, 1503.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[paragraph, [145.0, 1539.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[paragraph, [145.0, 1575.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[paragraph, [145.0, 1611.0, 868.0, 36.0], shoonya_1sGIO4MONIFINR, 5732788]
[footnote, [186.0, 1664.0, 678.0, 36.0], Dy30HG4U0j, 5732788]
[footnote, [186.0, 1700.0, 678.0, 36.0], Dy30HG4U0j, 5732788]
[footnote, [186.0, 1736.0, 678.0, 36.0], Dy30HG4U0j, 5732788]
[folio, [509.0, 1844.0, 198.0, 36.0], zxgGtJ3A1K, 5732788]
