[792, 612]
[section-title, [170.0, 174.0, 303.0, 30.0], xJgIPNptgW, 6516583]
[paragraph, [173.0, 246.0, 301.0, 18.0], shoonya_0sAS4TKR9D8OI9, 6516583]
[paragraph, [173.0, 264.0, 301.0, 18.0], shoonya_0sAS4TKR9D8OI9, 6516583]
[paragraph, [173.0, 282.0, 301.0, 18.0], shoonya_0sAS4TKR9D8OI9, 6516583]
[paragraph, [173.0, 300.0, 301.0, 18.0], shoonya_0sAS4TKR9D8OI9, 6516583]
[paragraph, [171.0, 321.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 339.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 357.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 375.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 393.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 411.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 429.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 447.0, 303.0, 18.0], J96MZvWtfE, 6516583]
[paragraph, [171.0, 470.0, 303.0, 18.0], tRHwKHI2dw, 6516583]
[paragraph, [171.0, 488.0, 303.0, 18.0], tRHwKHI2dw, 6516583]
[paragraph, [171.0, 506.0, 303.0, 18.0], tRHwKHI2dw, 6516583]
[paragraph, [171.0, 524.0, 303.0, 18.0], tRHwKHI2dw, 6516583]
