[1606, 1056]
[folio, [435.0, 98.0, 164.0, 36.0], gj9QxfrUqr, 5684268]
[paragraph, [428.0, 156.0, 191.0, 36.0], 9S4gBrwyFq, 5684268]
[paragraph, [303.0, 204.0, 437.0, 36.0], wyxm4vBHMM, 5684268]
[paragraph, [303.0, 240.0, 437.0, 36.0], wyxm4vBHMM, 5684268]
[paragraph, [303.0, 276.0, 437.0, 36.0], wyxm4vBHMM, 5684268]
[paragraph, [308.0, 333.0, 433.0, 36.0], TGZG16ZVw2, 5684268]
[paragraph, [308.0, 369.0, 433.0, 36.0], TGZG16ZVw2, 5684268]
[paragraph, [308.0, 405.0, 433.0, 36.0], TGZG16ZVw2, 5684268]
[paragraph, [307.0, 462.0, 437.0, 36.0], SuClJB-SBz, 5684268]
[paragraph, [307.0, 498.0, 437.0, 36.0], SuClJB-SBz, 5684268]
[paragraph, [307.0, 534.0, 437.0, 36.0], SuClJB-SBz, 5684268]
[paragraph, [308.0, 602.0, 436.0, 36.0], fOm2RyBDQD, 5684268]
[paragraph, [308.0, 638.0, 436.0, 36.0], fOm2RyBDQD, 5684268]
[paragraph, [308.0, 674.0, 436.0, 36.0], fOm2RyBDQD, 5684268]
[paragraph, [313.0, 738.0, 432.0, 36.0], Rzk1Bil0tD, 5684268]
[paragraph, [313.0, 774.0, 432.0, 36.0], Rzk1Bil0tD, 5684268]
[paragraph, [313.0, 810.0, 432.0, 36.0], Rzk1Bil0tD, 5684268]
[paragraph, [308.0, 871.0, 439.0, 36.0], P56hC6J6yW, 5684268]
[paragraph, [308.0, 907.0, 439.0, 36.0], P56hC6J6yW, 5684268]
[paragraph, [308.0, 943.0, 439.0, 36.0], P56hC6J6yW, 5684268]
[paragraph, [308.0, 1003.0, 444.0, 36.0], _trgEp8aai, 5684268]
[paragraph, [308.0, 1039.0, 444.0, 36.0], _trgEp8aai, 5684268]
[paragraph, [308.0, 1075.0, 444.0, 36.0], _trgEp8aai, 5684268]
[paragraph, [308.0, 1111.0, 444.0, 36.0], _trgEp8aai, 5684268]
[paragraph, [309.0, 1144.0, 445.0, 36.0], sSwd9Jel-M, 5684268]
[paragraph, [309.0, 1180.0, 445.0, 36.0], sSwd9Jel-M, 5684268]
[paragraph, [309.0, 1216.0, 445.0, 36.0], sSwd9Jel-M, 5684268]
[paragraph, [315.0, 1282.0, 433.0, 36.0], IYx7nc1st8, 5684268]
[paragraph, [315.0, 1318.0, 433.0, 36.0], IYx7nc1st8, 5684268]
[paragraph, [315.0, 1354.0, 433.0, 36.0], IYx7nc1st8, 5684268]
[paragraph, [315.0, 1414.0, 427.0, 36.0], b3588I5M-Z, 5684268]
[paragraph, [315.0, 1450.0, 427.0, 36.0], b3588I5M-Z, 5684268]
