[1987, 1270]
[folio, [600.0, 126.0, 97.0, 36.0], shoonya_5sQ6QXAEQ9ZCEM, 5683164]
[paragraph, [146.0, 193.0, 1002.0, 36.0], shoonya_1s4VTAZGM240G0, 5683164]
[paragraph, [146.0, 229.0, 1002.0, 36.0], shoonya_1s4VTAZGM240G0, 5683164]
[paragraph, [146.0, 265.0, 1002.0, 36.0], shoonya_1s4VTAZGM240G0, 5683164]
[paragraph, [146.0, 301.0, 1002.0, 36.0], shoonya_1s4VTAZGM240G0, 5683164]
[paragraph, [163.0, 354.0, 134.0, 36.0], Ehb_mtTDW3, 5683164]
[paragraph, [147.0, 406.0, 997.0, 36.0], shoonya_3s3I0AJTSZLXPN, 5683164]
[paragraph, [147.0, 442.0, 997.0, 36.0], shoonya_3s3I0AJTSZLXPN, 5683164]
[paragraph, [147.0, 478.0, 997.0, 36.0], shoonya_3s3I0AJTSZLXPN, 5683164]
[paragraph, [147.0, 514.0, 997.0, 36.0], shoonya_3s3I0AJTSZLXPN, 5683164]
[paragraph, [148.0, 564.0, 996.0, 36.0], shoonya_2sFR16UUKUA46O, 5683164]
[paragraph, [148.0, 600.0, 996.0, 36.0], shoonya_2sFR16UUKUA46O, 5683164]
[paragraph, [141.0, 670.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 706.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 742.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 778.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 814.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 850.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 886.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 922.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 958.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 994.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1030.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1066.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1102.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1138.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1174.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1210.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [141.0, 1246.0, 1003.0, 36.0], 5Ftqa7l7Ol, 5683164]
[paragraph, [137.0, 1299.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1335.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1371.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1407.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1443.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1479.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1515.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1551.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1587.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1623.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1659.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1695.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1731.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1767.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
[paragraph, [137.0, 1803.0, 1007.0, 36.0], shoonya_0sI5HTMUR9MFGE, 5683164]
