[2339, 1653]
[paragraph, [247.0, 247.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 283.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 319.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 355.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 391.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 427.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 463.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 499.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 535.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 571.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 607.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 643.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 679.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 715.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 751.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 787.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 823.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [247.0, 859.0, 1154.0, 36.0], shoonya_1sMOEFPQRK7BU4, 5686239]
[paragraph, [245.0, 937.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 973.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1009.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1045.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1081.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1117.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1153.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1189.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1225.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1261.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1297.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1333.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1369.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1405.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1441.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [245.0, 1477.0, 1156.0, 36.0], shoonya_0sW9HDY8P6QB0F, 5686239]
[paragraph, [247.0, 1563.0, 795.0, 36.0], EF3o7t7lI4, 5686239]
[reference, [1051.0, 1567.0, 281.0, 36.0], ixtgPnriBx, 5686239]
[paragraph, [241.0, 1633.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1669.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1705.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1741.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1777.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1813.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1849.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1885.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1921.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1957.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 1993.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 2029.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
[paragraph, [241.0, 2065.0, 1163.0, 36.0], CK0N0OejL-, 5686239]
