[872, 605]
[section-title, [261.0, 28.0, 83.0, 30.0], shoonya_0sDWXKKBX1QG2T, 6457334]
[folio, [41.0, 34.0, 85.0, 18.0], shoonya_3s6N8WVRXYHXJV, 6457334]
[paragraph, [39.0, 70.0, 262.0, 18.0], L3bTTlOmxN, 6457334]
[paragraph, [39.0, 88.0, 262.0, 18.0], L3bTTlOmxN, 6457334]
[paragraph, [39.0, 106.0, 262.0, 18.0], L3bTTlOmxN, 6457334]
[paragraph, [39.0, 124.0, 262.0, 18.0], L3bTTlOmxN, 6457334]
[paragraph, [304.0, 70.0, 260.0, 18.0], ULNN7NlPpR, 6457334]
[paragraph, [304.0, 88.0, 260.0, 18.0], ULNN7NlPpR, 6457334]
[paragraph, [406.0, 122.0, 160.0, 18.0], uw7c22mU_4, 6457334]
[paragraph, [304.0, 143.0, 241.0, 18.0], gAFrcKOi2G, 6457334]
[paragraph, [48.0, 145.0, 141.0, 18.0], 5_9QrSArOG, 6457334]
[paragraph, [37.0, 166.0, 262.0, 18.0], UwOgwtU3i8, 6457334]
[paragraph, [37.0, 184.0, 262.0, 18.0], UwOgwtU3i8, 6457334]
[paragraph, [304.0, 178.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 196.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 214.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 232.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 250.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 268.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 286.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 304.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 322.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 340.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 358.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 376.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 394.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [304.0, 412.0, 259.0, 18.0], f-CmXyk5Ms, 6457334]
[paragraph, [37.0, 204.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 222.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 240.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 258.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 276.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 294.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 312.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 330.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 348.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 366.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
[paragraph, [37.0, 384.0, 265.0, 18.0], G4gkUsDHWl, 6457334]
