[2184, 1475]
[folio, [181.0, 141.0, 227.0, 36.0], V0qmqqicsJ, 5655169]
[paragraph, [162.0, 242.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 278.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 314.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 350.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 386.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 422.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 458.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 494.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [162.0, 530.0, 1214.0, 36.0], shoonya_2s83RD4LUJCU73, 5655169]
[paragraph, [168.0, 587.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[paragraph, [168.0, 623.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[paragraph, [168.0, 659.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[paragraph, [168.0, 695.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[paragraph, [168.0, 731.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[paragraph, [168.0, 767.0, 1199.0, 36.0], shoonya_1sHMNHATT3H450, 5655169]
[section-title, [174.0, 847.0, 257.0, 52.5], shoonya_4sNBGKFGKUPS8W, 5655169]
[paragraph, [156.0, 947.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 983.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1019.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1055.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1091.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1127.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1163.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1199.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1235.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1271.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1307.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1343.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1379.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1415.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1451.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1487.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [156.0, 1523.0, 1223.0, 36.0], shoonya_0s9NQ7PXP0NOBF, 5655169]
[paragraph, [232.0, 1570.0, 754.0, 36.0], SpIcORnaQv, 5655169]
[paragraph, [232.0, 1606.0, 754.0, 36.0], SpIcORnaQv, 5655169]
[paragraph, [232.0, 1642.0, 754.0, 36.0], SpIcORnaQv, 5655169]
[paragraph, [232.0, 1678.0, 754.0, 36.0], SpIcORnaQv, 5655169]
[paragraph, [232.0, 1714.0, 754.0, 36.0], SpIcORnaQv, 5655169]
[paragraph, [167.0, 1771.0, 1192.0, 36.0], shoonya_5sC3I86MAM2IG5, 5655169]
[paragraph, [167.0, 1807.0, 1192.0, 36.0], shoonya_5sC3I86MAM2IG5, 5655169]
[paragraph, [167.0, 1843.0, 1192.0, 36.0], shoonya_5sC3I86MAM2IG5, 5655169]
[paragraph, [167.0, 1879.0, 1192.0, 36.0], shoonya_5sC3I86MAM2IG5, 5655169]
[reference, [192.0, 2002.0, 610.0, 36.0], shoonya_3sOKN3UL247555, 5655169]
