[1267, 753]
[folio, [330.0, 79.0, 103.0, 18.0], shoonya_6sQY4XZL2Q5DSF, 5699926]
[paragraph, [79.0, 123.0, 593.0, 18.0], shoonya_2sHADZ3LATWAEK, 5699926]
[paragraph, [79.0, 141.0, 593.0, 18.0], shoonya_2sHADZ3LATWAEK, 5699926]
[paragraph, [79.0, 159.0, 593.0, 18.0], shoonya_2sHADZ3LATWAEK, 5699926]
[paragraph, [79.0, 177.0, 593.0, 18.0], shoonya_2sHADZ3LATWAEK, 5699926]
[paragraph, [79.0, 195.0, 593.0, 18.0], shoonya_2sHADZ3LATWAEK, 5699926]
[paragraph, [77.0, 229.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 247.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 265.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 283.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 301.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 319.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 337.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 355.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 373.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 391.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 409.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 427.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 445.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 463.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 481.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 499.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 517.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 535.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[paragraph, [77.0, 553.0, 595.0, 18.0], shoonya_0s3S46X3RUSD1T, 5699926]
[chapter-title, [297.0, 634.0, 163.0, 30.0], shoonya_4sX09SX9V2Z8RC, 5699926]
[section-title, [311.0, 680.0, 134.0, 30.0], shoonya_8s8OIDFNCSJENJ, 5699926]
[paragraph, [81.0, 723.0, 587.0, 18.0], shoonya_7sUM5950QA7BM9, 5699926]
[paragraph, [81.0, 741.0, 587.0, 18.0], shoonya_7sUM5950QA7BM9, 5699926]
[paragraph, [81.0, 759.0, 587.0, 18.0], shoonya_7sUM5950QA7BM9, 5699926]
[sub-section-title, [304.0, 804.0, 133.0, 25.5], shoonya_3s3JIIXELKBG3I, 5699926]
[paragraph, [72.0, 841.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 859.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 877.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 895.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 913.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 931.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 949.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 967.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 985.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1003.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1021.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1039.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1057.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1075.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[paragraph, [72.0, 1093.0, 596.0, 18.0], shoonya_1sEEQ97MY4IA6L, 5699926]
[footnote, [242.0, 1135.0, 218.0, 18.0], shoonya_5sM44SHJF1Y8EU, 5699926]
[footnote, [242.0, 1153.0, 218.0, 18.0], shoonya_5sM44SHJF1Y8EU, 5699926]
[footnote, [242.0, 1171.0, 218.0, 18.0], shoonya_5sM44SHJF1Y8EU, 5699926]
