[2339, 1653]
[paragraph, [864.0, 255.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 291.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 327.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 363.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 399.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 435.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 471.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 507.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 543.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 579.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 615.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 651.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 687.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 723.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 759.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 795.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 831.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 867.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 903.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 939.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 975.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1011.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1047.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1083.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1119.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1155.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [864.0, 1191.0, 603.0, 36.0], shoonya_2s3LLW9WRWAWZ1, 5689494]
[paragraph, [189.0, 842.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 878.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 914.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 950.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 986.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 1022.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 1058.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 1094.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 1130.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
[paragraph, [189.0, 1166.0, 598.0, 36.0], shoonya_0sXJ42PA9UP9HH, 5689494]
