[2200, 1700]
[paragraph, [344.0, 86.0, 1102.0, 36.0], shoonya_0sQ9B2Q61TOVYP, 5730745]
[paragraph, [344.0, 122.0, 1102.0, 36.0], shoonya_0sQ9B2Q61TOVYP, 5730745]
[paragraph, [344.0, 158.0, 1102.0, 36.0], shoonya_0sQ9B2Q61TOVYP, 5730745]
[ordered-list, [336.0, 211.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 247.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 283.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 319.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 355.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 391.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 427.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 463.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 499.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 535.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 571.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 607.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 643.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 679.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 715.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 751.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 787.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 823.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 859.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 895.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 931.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 967.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1003.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1039.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1075.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1111.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1147.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1183.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1219.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1255.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1291.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1327.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1363.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1399.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1435.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1471.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1507.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1543.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1579.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1615.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1651.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1687.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1723.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1759.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1795.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1831.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1867.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[ordered-list, [336.0, 1903.0, 1133.0, 36.0], shoonya_2sPBBLBLX24RH0, 5730745]
[folio, [350.0, 2032.0, 350.0, 36.0], 2IDGd53dnx, 5730745]
