[2339, 1654]
[folio, [1308.0, 60.0, 246.0, 36.0], s40poo3f0G, 5751494]
[paragraph, [107.0, 122.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 158.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 194.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 230.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 266.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 302.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [107.0, 338.0, 1442.0, 36.0], 5aOwp7VDfV, 5751494]
[paragraph, [262.0, 374.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 410.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 446.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 482.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 518.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 554.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 590.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 626.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[paragraph, [262.0, 662.0, 1150.0, 36.0], I2YhsHtdQD, 5751494]
[reference, [885.0, 712.0, 538.0, 36.0], m0hYMtpXg-, 5751494]
[paragraph, [113.0, 771.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 807.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 843.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 879.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 915.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 951.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 987.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1023.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1059.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1095.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1131.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1167.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1203.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1239.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1275.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1311.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1347.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1383.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1419.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1455.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1491.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1527.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1563.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1599.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1635.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1671.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1707.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1743.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1779.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1815.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1851.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
[paragraph, [113.0, 1887.0, 1450.0, 36.0], shoonya_0sNM3Y1W6VJHHU, 5751494]
