[1447, 1063]
[section-title, [241.0, 38.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 68.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 98.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 128.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 158.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 188.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 218.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[section-title, [241.0, 248.0, 572.0, 30.0], zo-u9O9Log, 5763026]
[flag, [33.0, 64.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 82.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 100.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 118.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 136.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 154.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 172.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 190.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 208.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 226.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 244.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [33.0, 262.0, 209.0, 18.0], jl9VR8nr67, 5763026]
[flag, [815.0, 95.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 113.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 131.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 149.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 167.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 185.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 203.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 221.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 239.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[flag, [815.0, 257.0, 201.0, 18.0], _lXCalTvb4, 5763026]
[folio, [655.0, 206.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 224.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 242.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 260.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 278.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 296.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [655.0, 314.0, 182.0, 18.0], Rux4jgNhGc, 5763026]
[folio, [10.0, 311.0, 265.0, 18.0], LRVwIkHm7O, 5763026]
[folio, [4.0, 344.0, 1026.0, 18.0], 7n6JKGEQGJ, 5763026]
[website-link, [38.0, 1365.0, 269.0, 18.0], shoonya_1s6TBI8OY3HTIW, 5763026]
[website-link, [310.0, 1366.0, 231.0, 18.0], shoonya_2sNQHM4HNLJS4I, 5763026]
