[2200, 1700]
[paragraph, [310.0, 52.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 88.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 124.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 160.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 196.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 232.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 268.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 304.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 340.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 376.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 412.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 448.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 484.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 520.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 556.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 592.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [310.0, 628.0, 1085.0, 36.0], shoonya_0sH3L6XO6G5292, 5731701]
[paragraph, [1052.0, 697.0, 291.0, 36.0], shoonya_1sBTZR2XZLTIWW, 5731701]
[paragraph, [1052.0, 733.0, 291.0, 36.0], shoonya_1sBTZR2XZLTIWW, 5731701]
[paragraph, [1052.0, 769.0, 291.0, 36.0], shoonya_1sBTZR2XZLTIWW, 5731701]
[paragraph, [421.0, 771.0, 441.0, 36.0], shoonya_8sSI1TDE73WU8F, 5731701]
[paragraph, [421.0, 807.0, 441.0, 36.0], shoonya_8sSI1TDE73WU8F, 5731701]
[paragraph, [325.0, 918.0, 249.0, 36.0], shoonya_3s1KLRS2B7O4IC, 5731701]
[paragraph, [431.0, 985.0, 193.0, 36.0], shoonya_2s7XQ5Z3VPPF3O, 5731701]
[paragraph, [320.0, 1028.0, 1089.0, 36.0], shoonya_6s6B8S4PPH398V, 5731701]
[paragraph, [320.0, 1064.0, 1089.0, 36.0], shoonya_6s6B8S4PPH398V, 5731701]
[paragraph, [320.0, 1100.0, 1089.0, 36.0], shoonya_6s6B8S4PPH398V, 5731701]
[ordered-list, [318.0, 1153.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1189.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1225.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1261.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1297.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1333.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1369.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1405.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1441.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1477.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1513.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1549.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1585.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1621.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1657.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[ordered-list, [318.0, 1693.0, 1120.0, 36.0], mSd5NMr2vo, 5731701]
[footnote, [329.0, 1773.0, 1079.0, 36.0], shoonya_5sYL72SLO99H6S, 5731701]
[footnote, [329.0, 1809.0, 1079.0, 36.0], shoonya_5sYL72SLO99H6S, 5731701]
[footnote, [329.0, 1845.0, 1079.0, 36.0], shoonya_5sYL72SLO99H6S, 5731701]
[footnote, [329.0, 1881.0, 1079.0, 36.0], shoonya_5sYL72SLO99H6S, 5731701]
[folio, [976.0, 2013.0, 358.0, 36.0], 5hk6vK7ahe, 5731701]
