[690, 512]
[folio, [194.0, 43.0, 103.0, 18.0], shoonya_3sPHTLLXI3ROVH, 6491689]
[paragraph, [18.0, 63.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 81.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 99.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 117.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 135.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 153.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 171.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 189.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 207.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 225.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 243.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 261.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 279.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 297.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 315.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 333.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 351.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 369.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 387.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 405.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
[paragraph, [18.0, 423.0, 225.0, 18.0], shoonya_0sQLJBB3WBZWA3, 6491689]
