[1951, 1219]
[folio, [768.0, 126.0, 192.0, 36.0], I_JogoM_kk, 5682712]
[paragraph, [118.0, 207.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 243.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 279.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 315.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 351.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 387.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 423.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 459.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 495.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 531.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 567.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 603.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 639.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 675.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 711.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 747.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 783.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 819.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 855.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 891.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 927.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 963.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 999.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 1035.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 1071.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 1107.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [118.0, 1143.0, 965.0, 36.0], shoonya_0sW988IYQZ7QOL, 5682712]
[paragraph, [123.0, 1190.0, 962.0, 36.0], RI7s8yQz45, 5682712]
[paragraph, [123.0, 1226.0, 962.0, 36.0], RI7s8yQz45, 5682712]
[paragraph, [123.0, 1262.0, 962.0, 36.0], RI7s8yQz45, 5682712]
[paragraph, [123.0, 1298.0, 962.0, 36.0], RI7s8yQz45, 5682712]
[paragraph, [123.0, 1334.0, 962.0, 36.0], RI7s8yQz45, 5682712]
[paragraph, [126.0, 1404.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [126.0, 1440.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [126.0, 1476.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [126.0, 1512.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [126.0, 1548.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [126.0, 1584.0, 961.0, 36.0], mQSM66yWIz, 5682712]
[paragraph, [130.0, 1644.0, 964.0, 36.0], ys1V8tx_HD, 5682712]
[paragraph, [130.0, 1680.0, 964.0, 36.0], ys1V8tx_HD, 5682712]
[paragraph, [130.0, 1716.0, 964.0, 36.0], ys1V8tx_HD, 5682712]
[paragraph, [130.0, 1752.0, 964.0, 36.0], ys1V8tx_HD, 5682712]
