[792, 612]
[paragraph, [74.0, 6.0, 155.0, 18.0], -9jPeTDTDS, 6516822]
[paragraph, [74.0, 24.0, 155.0, 18.0], -9jPeTDTDS, 6516822]
[paragraph, [74.0, 42.0, 155.0, 18.0], -9jPeTDTDS, 6516822]
[paragraph, [74.0, 60.0, 155.0, 18.0], -9jPeTDTDS, 6516822]
[paragraph, [76.0, 94.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 112.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 130.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 148.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 166.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 184.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 202.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 220.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 238.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 256.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 274.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 292.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 310.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 328.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 346.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 364.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 382.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 400.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 418.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 436.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 454.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 472.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 490.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 508.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 526.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 544.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 562.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 580.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [76.0, 598.0, 149.0, 18.0], yypp8EAqQ_, 6516822]
[paragraph, [234.0, 207.0, 145.0, 18.0], MUmk8v-9Ss, 6516822]
[paragraph, [234.0, 225.0, 145.0, 18.0], MUmk8v-9Ss, 6516822]
[paragraph, [234.0, 243.0, 145.0, 18.0], MUmk8v-9Ss, 6516822]
[paragraph, [234.0, 261.0, 145.0, 18.0], MUmk8v-9Ss, 6516822]
[paragraph, [388.0, 208.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 226.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 244.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 262.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 280.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 298.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 316.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 334.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [388.0, 352.0, 149.0, 18.0], ASS2vMQKtl, 6516822]
[paragraph, [232.0, 295.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 313.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 331.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 349.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 367.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 385.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 403.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 421.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 439.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 457.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 475.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 493.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 511.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 529.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 547.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 565.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 583.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [232.0, 601.0, 146.0, 18.0], baIinPqCdw, 6516822]
[paragraph, [384.0, 382.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 400.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 418.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 436.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 454.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 472.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 490.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 508.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 526.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 544.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [384.0, 562.0, 149.0, 18.0], HD1xrsxTVI, 6516822]
[paragraph, [383.0, 585.0, 151.0, 18.0], 4wQrmU_FfC, 6516822]
[paragraph, [383.0, 603.0, 151.0, 18.0], 4wQrmU_FfC, 6516822]
