[2200, 1700]
[section-title, [248.0, 160.0, 451.0, 52.5], shoonya_0s53CHM3SFLD83, 5750108]
[paragraph, [365.0, 218.0, 686.0, 36.0], Mavf078s7V, 5750108]
[paragraph, [317.0, 272.0, 862.0, 36.0], shoonya_1sR4UIWW8IZAOY, 5750108]
[paragraph, [314.0, 340.0, 881.0, 36.0], 5EifyLIJel, 5750108]
[paragraph, [312.0, 401.0, 879.0, 36.0], aCjCOPHFzw, 5750108]
[paragraph, [314.0, 463.0, 1041.0, 36.0], woENTg2InT, 5750108]
[paragraph, [522.0, 535.0, 638.0, 36.0], shoonya_4s5LX8U4GJ3C8D, 5750108]
[paragraph, [522.0, 571.0, 638.0, 36.0], shoonya_4s5LX8U4GJ3C8D, 5750108]
[paragraph, [522.0, 607.0, 638.0, 36.0], shoonya_4s5LX8U4GJ3C8D, 5750108]
[paragraph, [437.0, 671.0, 807.0, 36.0], t_x4SBb8du, 5750108]
[paragraph, [437.0, 707.0, 807.0, 36.0], t_x4SBb8du, 5750108]
[paragraph, [437.0, 743.0, 807.0, 36.0], t_x4SBb8du, 5750108]
[paragraph, [322.0, 818.0, 1023.0, 36.0], shoonya_2sAUYKI3JEO1MK, 5750108]
[paragraph, [322.0, 854.0, 1023.0, 36.0], shoonya_2sAUYKI3JEO1MK, 5750108]
[paragraph, [322.0, 890.0, 1023.0, 36.0], shoonya_2sAUYKI3JEO1MK, 5750108]
[paragraph, [322.0, 926.0, 1023.0, 36.0], shoonya_2sAUYKI3JEO1MK, 5750108]
[paragraph, [322.0, 962.0, 1023.0, 36.0], shoonya_2sAUYKI3JEO1MK, 5750108]
