[1275, 736]
[folio, [582.0, 32.0, 111.0, 18.0], shoonya_9sQI97DWNZX3NI, 5782387]
[folio, [582.0, 50.0, 111.0, 18.0], shoonya_9sQI97DWNZX3NI, 5782387]
[folio, [265.0, 87.0, 206.0, 18.0], shoonya_3sC5K7MWGFY39B, 5782387]
[paragraph, [42.0, 125.0, 650.0, 18.0], shoonya_6sHB9Z217MVTA6, 5782387]
[paragraph, [42.0, 143.0, 650.0, 18.0], shoonya_6sHB9Z217MVTA6, 5782387]
[paragraph, [42.0, 161.0, 650.0, 18.0], shoonya_6sHB9Z217MVTA6, 5782387]
[ordered-list, [42.0, 200.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 218.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 236.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 254.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 272.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 290.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 308.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 326.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 344.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 362.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 380.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 398.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[ordered-list, [42.0, 416.0, 654.0, 18.0], shoonya_2sIYP1OMW89TN1, 5782387]
[figure-caption, [178.0, 723.0, 155.0, 18.0], 2nk3pJ27oB, 5782387]
[figure-caption, [178.0, 741.0, 155.0, 18.0], 2nk3pJ27oB, 5782387]
[figure-caption, [178.0, 759.0, 155.0, 18.0], 2nk3pJ27oB, 5782387]
[figure-caption, [386.0, 724.0, 143.0, 18.0], QYd1jQDN3I, 5782387]
[figure-caption, [386.0, 742.0, 143.0, 18.0], QYd1jQDN3I, 5782387]
[figure-caption, [386.0, 760.0, 143.0, 18.0], QYd1jQDN3I, 5782387]
[figure-caption, [585.0, 795.0, 76.0, 18.0], shoonya_7s17HAUGOO4XNC, 5782387]
[figure-caption, [67.0, 829.0, 602.0, 18.0], wJQ5m7y56O, 5782387]
[ordered-list, [24.0, 878.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 896.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 914.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 932.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 950.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 968.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 986.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1004.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1022.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1040.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1058.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1076.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1094.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1112.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1130.0, 670.0, 18.0], rbSB89dZiF, 5782387]
[ordered-list, [24.0, 1148.0, 670.0, 18.0], rbSB89dZiF, 5782387]
