[792, 612]
[headline, [80.0, 64.0, 230.0, 25.5], shoonya_3s9533F502ZYV5, 5654517]
[headline, [80.0, 89.5, 230.0, 25.5], shoonya_3s9533F502ZYV5, 5654517]
[headline, [80.0, 115.0, 230.0, 25.5], shoonya_3s9533F502ZYV5, 5654517]
[headline, [80.0, 140.5, 230.0, 25.5], shoonya_3s9533F502ZYV5, 5654517]
[paragraph, [84.0, 274.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [84.0, 292.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [84.0, 310.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [84.0, 328.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [84.0, 346.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [84.0, 364.0, 227.0, 18.0], shoonya_1sAK301ZA4HHAS, 5654517]
[paragraph, [85.0, 402.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 420.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 438.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 456.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 474.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 492.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 510.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 528.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 546.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 564.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 582.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 600.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 618.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 636.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 654.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[paragraph, [85.0, 672.0, 228.0, 18.0], shoonya_0s17J5HRZ6EU61, 5654517]
[figure-caption, [339.0, 527.0, 67.0, 18.0], IbyNC5nE0F, 5654517]
[folio, [76.0, 729.0, 63.0, 18.0], pymBAbgAgl, 5654517]
