[844, 612]
[folio, [216.0, 30.0, 131.0, 18.0], odjMnD9lOr, 6460816]
[paragraph, [58.0, 79.0, 456.0, 18.0], 5R1E8AlchF, 6460816]
[paragraph, [58.0, 97.0, 456.0, 18.0], 5R1E8AlchF, 6460816]
[paragraph, [58.0, 115.0, 456.0, 18.0], 5R1E8AlchF, 6460816]
[paragraph, [56.0, 141.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 159.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 177.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 195.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 213.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 231.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 249.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 267.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 285.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 303.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 321.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 339.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 357.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 375.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 393.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 411.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 429.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 447.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 465.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 483.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 501.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 519.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 537.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 555.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 573.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 591.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 609.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 627.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 645.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 663.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 681.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 699.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 717.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 735.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
[paragraph, [56.0, 753.0, 463.0, 18.0], shoonya_0sXGZIUZ3LMCEP, 6460816]
