[1839, 1268]
[paragraph, [196.0, 196.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 232.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 268.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 304.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 340.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 376.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 412.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 448.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 484.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 520.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 556.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 592.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 628.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 664.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 700.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 736.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [196.0, 772.0, 958.0, 36.0], shoonya_0sF8L8TNKTUQQY, 5743671]
[paragraph, [214.0, 855.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 891.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 927.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 963.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 999.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1035.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1071.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1107.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1143.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1179.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1215.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1251.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1287.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1323.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1359.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1395.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1431.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1467.0, 934.0, 36.0], lMRrFay6GV, 5743671]
[paragraph, [214.0, 1503.0, 934.0, 36.0], lMRrFay6GV, 5743671]
