[2339, 1656]
[paragraph, [304.0, 150.0, 1176.0, 36.0], shoonya_0sA534P8FZCV6Q, 5687721]
[paragraph, [304.0, 186.0, 1176.0, 36.0], shoonya_0sA534P8FZCV6Q, 5687721]
[paragraph, [304.0, 222.0, 1176.0, 36.0], shoonya_0sA534P8FZCV6Q, 5687721]
[ordered-list, [305.0, 288.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 324.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 360.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 396.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 432.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 468.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 504.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 540.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 576.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 612.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 648.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 684.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 720.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 756.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 792.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 828.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 864.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 900.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 936.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 972.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1008.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1044.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1080.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1116.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1152.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1188.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1224.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1260.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[ordered-list, [305.0, 1296.0, 1174.0, 36.0], shoonya_6s2YIFJIGNXDEA, 5687721]
[sub-ordered-list, [405.0, 831.0, 443.0, 36.0], shoonya_3sGTOLSDGRPJ14, 5687721]
[sub-ordered-list, [405.0, 867.0, 443.0, 36.0], shoonya_3sGTOLSDGRPJ14, 5687721]
[sub-ordered-list, [405.0, 903.0, 443.0, 36.0], shoonya_3sGTOLSDGRPJ14, 5687721]
[sub-ordered-list, [405.0, 939.0, 443.0, 36.0], shoonya_3sGTOLSDGRPJ14, 5687721]
[sub-ordered-list, [405.0, 975.0, 443.0, 36.0], shoonya_3sGTOLSDGRPJ14, 5687721]
[sub-ordered-list, [406.0, 1084.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[sub-ordered-list, [406.0, 1120.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[sub-ordered-list, [406.0, 1156.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[sub-ordered-list, [406.0, 1192.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[sub-ordered-list, [406.0, 1228.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[sub-ordered-list, [406.0, 1264.0, 1067.0, 36.0], KbJcoGC7Hi, 5687721]
[ordered-list, [300.0, 1421.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [300.0, 1457.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [300.0, 1493.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [300.0, 1529.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [300.0, 1565.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [300.0, 1601.0, 1174.0, 36.0], shoonya_7s0BYCQUWRGPUD, 5687721]
[ordered-list, [204.0, 1756.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1792.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1828.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1864.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1900.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1936.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 1972.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 2008.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 2044.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 2080.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
[ordered-list, [204.0, 2116.0, 1282.0, 36.0], shoonya_5sK8RDQQ8463EY, 5687721]
