[2084, 2084]
[quote, [1055.0, 260.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 296.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 332.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 368.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 404.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 440.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[quote, [1055.0, 476.0, 502.0, 36.0], t6wwWbwX17, 5715258]
[figure-caption, [65.0, 1154.0, 1958.0, 36.0], Ea5nu3cqlW, 5715258]
[figure-caption, [65.0, 1190.0, 1958.0, 36.0], Ea5nu3cqlW, 5715258]
[figure-caption, [65.0, 1226.0, 1958.0, 36.0], Ea5nu3cqlW, 5715258]
[paragraph, [49.0, 1328.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1364.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1400.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1436.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1472.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1508.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1544.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1580.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1616.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1652.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1688.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1724.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1760.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1796.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1832.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1868.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1904.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1940.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
[paragraph, [49.0, 1976.0, 1932.0, 36.0], R1d5vHBU2B, 5715258]
