[792, 612]
[folio, [266.0, 57.0, 74.0, 18.0], yIuF7bEug7, 6492816]
[paragraph, [100.0, 97.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [100.0, 115.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [100.0, 133.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [100.0, 151.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [100.0, 169.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [100.0, 187.0, 399.0, 18.0], 1US6WVFRDn, 6492816]
[paragraph, [101.0, 219.0, 399.0, 18.0], shoonya_0s6WE8AQD4IKWR, 6492816]
[paragraph, [101.0, 237.0, 399.0, 18.0], shoonya_0s6WE8AQD4IKWR, 6492816]
[paragraph, [101.0, 255.0, 399.0, 18.0], shoonya_0s6WE8AQD4IKWR, 6492816]
[paragraph, [101.0, 273.0, 399.0, 18.0], shoonya_0s6WE8AQD4IKWR, 6492816]
[paragraph, [101.0, 291.0, 399.0, 18.0], shoonya_0s6WE8AQD4IKWR, 6492816]
[paragraph, [98.0, 319.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 337.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 355.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 373.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 391.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 409.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 427.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 445.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 463.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 481.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 499.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 517.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 535.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 553.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 571.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 589.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 607.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 625.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 643.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 661.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
[paragraph, [98.0, 679.0, 399.0, 18.0], O9lBKeEYeM, 6492816]
