[808, 596]
[section-title, [63.0, 76.0, 137.0, 30.0], 9ekc8ZwREM, 5726245]
[paragraph, [53.0, 136.0, 518.0, 18.0], n7us8Yu4mW, 5726245]
[paragraph, [53.0, 154.0, 518.0, 18.0], n7us8Yu4mW, 5726245]
[paragraph, [53.0, 172.0, 518.0, 18.0], n7us8Yu4mW, 5726245]
[paragraph, [54.0, 207.0, 518.0, 18.0], DBGNpXnFfF, 5726245]
[paragraph, [54.0, 225.0, 518.0, 18.0], DBGNpXnFfF, 5726245]
[paragraph, [54.0, 243.0, 518.0, 18.0], DBGNpXnFfF, 5726245]
[paragraph, [54.0, 261.0, 518.0, 18.0], DBGNpXnFfF, 5726245]
[paragraph, [54.0, 295.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 313.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 331.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 349.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 367.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 385.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 403.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 421.0, 519.0, 18.0], fVBkFihFyW, 5726245]
[paragraph, [54.0, 452.0, 519.0, 18.0], shoonya_0sGDTO6VUQ40C1, 5726245]
[paragraph, [54.0, 470.0, 519.0, 18.0], shoonya_0sGDTO6VUQ40C1, 5726245]
[paragraph, [54.0, 488.0, 519.0, 18.0], shoonya_0sGDTO6VUQ40C1, 5726245]
[paragraph, [54.0, 506.0, 519.0, 18.0], shoonya_0sGDTO6VUQ40C1, 5726245]
[paragraph, [54.0, 524.0, 519.0, 18.0], shoonya_0sGDTO6VUQ40C1, 5726245]
[paragraph, [53.0, 567.0, 520.0, 18.0], A62WFehkOH, 5726245]
[paragraph, [53.0, 585.0, 520.0, 18.0], A62WFehkOH, 5726245]
[paragraph, [53.0, 603.0, 520.0, 18.0], A62WFehkOH, 5726245]
[paragraph, [53.0, 621.0, 520.0, 18.0], A62WFehkOH, 5726245]
[paragraph, [53.0, 639.0, 520.0, 18.0], A62WFehkOH, 5726245]
[paragraph, [50.0, 679.0, 521.0, 18.0], RU3bQFSkp7, 5726245]
[paragraph, [50.0, 697.0, 521.0, 18.0], RU3bQFSkp7, 5726245]
