[1754, 1241]
[folio, [200.0, 0.0, 181.0, 36.0], NCPqmof-3H, 5745017]
[dateline, [901.0, 12.0, 159.0, 64.5], rcW5vtOYVs, 5745017]
[headline, [50.0, 100.0, 868.0, 37.5], shoonya_4sZDDGYU7MUM2B, 5745017]
[headline, [50.0, 137.5, 868.0, 37.5], shoonya_4sZDDGYU7MUM2B, 5745017]
[paragraph, [51.0, 218.0, 370.0, 36.0], FlHxypMFS9, 5745017]
[paragraph, [51.0, 254.0, 370.0, 36.0], FlHxypMFS9, 5745017]
[paragraph, [51.0, 290.0, 370.0, 36.0], FlHxypMFS9, 5745017]
[paragraph, [51.0, 326.0, 370.0, 36.0], FlHxypMFS9, 5745017]
[paragraph, [435.0, 221.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 257.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 293.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 329.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 365.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 401.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [435.0, 437.0, 365.0, 36.0], shoonya_5sC4BDGORZSI4Z, 5745017]
[paragraph, [52.0, 376.0, 365.0, 36.0], shoonya_10sUZKSC7TV15Y, 5745017]
[paragraph, [52.0, 412.0, 365.0, 36.0], shoonya_10sUZKSC7TV15Y, 5745017]
[paragraph, [52.0, 448.0, 365.0, 36.0], shoonya_10sUZKSC7TV15Y, 5745017]
[paragraph, [52.0, 484.0, 365.0, 36.0], shoonya_10sUZKSC7TV15Y, 5745017]
[paragraph, [55.0, 562.0, 366.0, 36.0], jH9gheGgtr, 5745017]
[paragraph, [55.0, 598.0, 366.0, 36.0], jH9gheGgtr, 5745017]
[headline, [52.0, 760.0, 845.0, 37.5], shoonya_6sOLEUO0L0OVYK, 5745017]
[headline, [52.0, 797.5, 845.0, 37.5], shoonya_6sOLEUO0L0OVYK, 5745017]
[paragraph, [41.0, 870.0, 380.0, 36.0], Hn2ynyY1eI, 5745017]
[paragraph, [41.0, 906.0, 380.0, 36.0], Hn2ynyY1eI, 5745017]
[paragraph, [41.0, 942.0, 380.0, 36.0], Hn2ynyY1eI, 5745017]
[paragraph, [41.0, 978.0, 380.0, 36.0], Hn2ynyY1eI, 5745017]
[paragraph, [436.0, 870.0, 365.0, 36.0], shoonya_7sIVJK9733D73V, 5745017]
[paragraph, [436.0, 906.0, 365.0, 36.0], shoonya_7sIVJK9733D73V, 5745017]
[paragraph, [436.0, 942.0, 365.0, 36.0], shoonya_7sIVJK9733D73V, 5745017]
[paragraph, [436.0, 978.0, 365.0, 36.0], shoonya_7sIVJK9733D73V, 5745017]
[paragraph, [436.0, 1014.0, 365.0, 36.0], shoonya_7sIVJK9733D73V, 5745017]
[paragraph, [819.0, 873.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 909.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 945.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 981.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 1017.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 1053.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [819.0, 1089.0, 367.0, 36.0], shoonya_12sE6RION74XL0, 5745017]
[paragraph, [52.0, 1025.0, 365.0, 36.0], shoonya_9s8UCRL1DBJDYT, 5745017]
[paragraph, [52.0, 1061.0, 365.0, 36.0], shoonya_9s8UCRL1DBJDYT, 5745017]
[paragraph, [52.0, 1097.0, 365.0, 36.0], shoonya_9s8UCRL1DBJDYT, 5745017]
[paragraph, [52.0, 1133.0, 365.0, 36.0], shoonya_9s8UCRL1DBJDYT, 5745017]
[paragraph, [52.0, 1169.0, 365.0, 36.0], shoonya_9s8UCRL1DBJDYT, 5745017]
[paragraph, [436.0, 1094.0, 364.0, 36.0], shoonya_8sDBH5JO2JIIZ9, 5745017]
[paragraph, [436.0, 1130.0, 364.0, 36.0], shoonya_8sDBH5JO2JIIZ9, 5745017]
[paragraph, [436.0, 1166.0, 364.0, 36.0], shoonya_8sDBH5JO2JIIZ9, 5745017]
